 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 31, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in Nitrogen (gas)5-31.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.49999 eV    7.186E-02  8.089E-01      44 A        42 A        32 A   
5.99999 eV    7.506E-02  8.447E-01      46 A        44 A        34 A   
6.49999 eV    7.812E-02  8.787E-01      48 A        45 A        35 A   
6.99999 eV    8.107E-02  9.111E-01      50 A        47 A        36 A   
7.99999 eV    8.667E-02  9.717E-01      53 A        50 A        39 A   
8.99999 eV    9.193E-02  1.028E+00      57 A        53 A        41 A   
9.99999 eV    9.690E-02  1.079E+00      60 A        56 A        43 A   
10.9999 eV    1.016E-01  1.128E+00      63 A        58 A        45 A   
11.9999 eV    1.061E-01  1.173E+00      66 A        61 A        47 A   
12.9999 eV    1.105E-01  1.216E+00      69 A        63 A        49 A   
13.9999 eV    1.147E-01  1.257E+00      71 A        65 A        51 A   
14.9999 eV    1.187E-01  1.296E+00      74 A        68 A        52 A   
15.9999 eV    1.226E-01  1.333E+00      77 A        70 A        54 A   
16.9999 eV    1.263E-01  1.368E+00      79 A        72 A        56 A   
17.9999 eV    1.300E-01  1.402E+00      82 A        74 A        57 A   
19.9999 eV    1.370E-01  1.465E+00      86 A        78 A        60 A   
22.4999 eV    1.454E-01  1.538E+00      92 A        83 A        64 A   
24.9999 eV    1.532E-01  1.604E+00      98 A        87 A        68 A   
27.4999 eV    1.607E-01  1.666E+00     103 A        91 A        71 A   
29.9999 eV    1.678E-01  1.723E+00     109 A        96 A        74 A   
32.4999 eV    1.747E-01  1.777E+00     114 A       100 A        77 A   
34.9999 eV    1.813E-01  1.827E+00     119 A       104 A        80 A   
37.4999 eV    1.876E-01  1.874E+00     124 A       108 A        83 A   
39.9999 eV    1.938E-01  1.918E+00     129 A       111 A        86 A   
44.9999 eV    2.056E-01  2.000E+00     138 A       119 A        92 A   
49.9999 eV    2.167E-01  2.075E+00     148 A       126 A        97 A   
54.9999 eV    2.273E-01  2.142E+00     157 A       132 A       102 A   
59.9999 eV    2.374E-01  2.205E+00     165 A       139 A       107 A   
64.9999 eV    2.470E-01  2.262E+00     174 A       145 A       112 A   
69.9999 eV    2.564E-01  2.316E+00     182 A       151 A       117 A   
79.9999 eV    2.741E-01  2.412E+00     199 A       164 A       126 A   
89.9999 eV    2.907E-01  2.497E+00     215 A       175 A       135 A   
99.9999 eV    3.064E-01  2.572E+00     230 A       186 A       143 A   
    110 eV    3.214E-01  2.640E+00     246 A       197 A       151 A   
    120 eV    3.357E-01  2.701E+00     261 A       208 A       159 A   
    130 eV    3.494E-01  2.757E+00     276 A       219 A       167 A   
139.999 eV    3.626E-01  2.808E+00     290 A       229 A       175 A   
149.999 eV    3.753E-01  2.855E+00     304 A       239 A       182 A   
159.999 eV    3.876E-01  2.898E+00     319 A       249 A       189 A   
169.999 eV    3.995E-01  2.938E+00     333 A       259 A       196 A   
179.999 eV    4.111E-01  2.975E+00     347 A       269 A       203 A   
199.999 eV    4.334E-01  3.042E+00     374 A       288 A       217 A   
224.999 eV    4.596E-01  3.114E+00     408 A       311 A       234 A   
249.999 eV    4.845E-01  3.175E+00     442 A       334 A       250 A   
274.999 eV    5.081E-01  3.228E+00     475 A       356 A       266 A   
299.999 eV    5.307E-01  3.274E+00     507 A       378 A       281 A   
324.999 eV    5.524E-01  3.315E+00     540 A       400 A       296 A   
349.999 eV    5.733E-01  3.350E+00     572 A       422 A       311 A   
374.999 eV    5.934E-01  3.381E+00     604 A       443 A       326 A   
399.999 eV    6.129E-01  3.409E+00     635 A       464 A       340 A   
449.999 eV    6.500E-01  3.454E+00     699 A       506 A       368 A   
499.999 eV    6.852E-01  3.490E+00     761 A       547 A       395 A   
549.999 eV    7.186E-01  3.518E+00     823 A       586 A       423 A   
599.999 eV    7.506E-01  3.540E+00     886 A       624 A       450 A   
649.999 eV    7.812E-01  3.557E+00     947 A       662 A       477 A   
699.999 eV    8.107E-01  3.569E+00    1009 A       700 A       504 A   
799.999 eV    8.667E-01  3.584E+00    1133 A       773 A       557 A   
899.999 eV    9.193E-01  3.588E+00    1256 A       846 A       609 A   
999.999 eV    9.690E-01  3.585E+00    1380 A       918 A       660 A   
   1.10 keV   1.016E+00  3.577E+00    1503 A       990 A       710 A   
   1.20 keV   1.061E+00  3.564E+00    1627 A      1060 A       760 A   
   1.30 keV   1.105E+00  3.548E+00    1752 A      1130 A       809 A   
   1.40 keV   1.147E+00  3.529E+00    1877 A      1200 A       858 A   
   1.50 keV   1.187E+00  3.509E+00    2002 A      1268 A       907 A   
   1.60 keV   1.226E+00  3.487E+00    2128 A      1337 A       956 A   
   1.70 keV   1.263E+00  3.465E+00    2255 A      1405 A      1004 A   
   1.80 keV   1.300E+00  3.441E+00    2381 A      1472 A      1052 A   
   2.00 keV   1.370E+00  3.393E+00    2637 A      1605 A      1148 A   
   2.25 keV   1.454E+00  3.331E+00    2960 A      1769 A      1267 A   
   2.50 keV   1.532E+00  3.268E+00    3285 A      1931 A      1385 A   
   2.75 keV   1.607E+00  3.207E+00    3614 A      2092 A      1502 A   
   3.00 keV   1.678E+00  3.147E+00    3945 A      2251 A      1619 A   
   3.25 keV   1.747E+00  3.088E+00    4279 A      2408 A      1735 A   
   3.50 keV   1.813E+00  3.031E+00    4616 A      2563 A      1851 A   
   3.75 keV   1.876E+00  2.976E+00    4955 A      2717 A      1967 A   
   4.00 keV   1.938E+00  2.923E+00    5296 A      2868 A      2083 A   
   4.50 keV   2.056E+00  2.823E+00    5985 A      3165 A      2314 A   
   5.00 keV   2.167E+00  2.730E+00    6681 A      3457 A      2543 A   
   5.50 keV   2.273E+00  2.643E+00    7383 A      3742 A      2771 A   
   6.00 keV   2.374E+00  2.562E+00    8090 A      4022 A      2997 A   
   6.50 keV   2.470E+00  2.487E+00    8801 A      4295 A      3222 A   
   7.00 keV   2.564E+00  2.417E+00    9516 A      4563 A      3445 A   
   8.00 keV   2.741E+00  2.289E+00    1.10 um     5080 A      3889 A   
   9.00 keV   2.907E+00  2.176E+00    1.24 um     5577 A      4324 A   
  10.00 keV   3.064E+00  2.076E+00    1.39 um     6055 A      4751 A   
  11.00 keV   3.214E+00  1.986E+00    1.53 um     6514 A      5170 A   
  12.00 keV   3.357E+00  1.905E+00    1.68 um     6955 A      5581 A   
  13.00 keV   3.494E+00  1.831E+00    1.82 um     7380 A      5983 A   
  14.00 keV   3.626E+00  1.763E+00    1.97 um     7788 A      6377 A   
  15.00 keV   3.762E+00  1.702E+00    2.11 um     8182 A      6763 A   
  16.00 keV   3.895E+00  1.645E+00    2.25 um     8559 A      7141 A   
  17.00 keV   4.024E+00  1.592E+00    2.40 um     8923 A      7510 A   
  18.00 keV   4.150E+00  1.543E+00    2.54 um     9273 A      7871 A   
  20.00 keV   4.392E+00  1.456E+00    2.82 um     9936 A      8570 A   
  22.50 keV   4.680E+00  1.361E+00    3.16 um     1.07 um     9400 A   
  25.00 keV   4.954E+00  1.279E+00    3.50 um     1.14 um     1.02 um  
  27.50 keV   5.216E+00  1.209E+00    3.83 um     1.21 um     1.09 um  
  30.00 keV   5.468E+00  1.146E+00    4.16 um     1.27 um     1.16 um  
  32.50 keV   5.710E+00  1.091E+00    4.48 um     1.32 um     1.23 um  
  35.00 keV   5.944E+00  1.041E+00    4.79 um     1.37 um     1.29 um  
  37.50 keV   6.171E+00  9.969E-01    5.10 um     1.42 um     1.35 um  
  40.00 keV   6.392E+00  9.564E-01    5.40 um     1.47 um     1.41 um  
  45.00 keV   6.814E+00  8.859E-01    5.99 um     1.55 um     1.52 um  
  50.00 keV   7.217E+00  8.262E-01    6.55 um     1.62 um     1.62 um  
  55.00 keV   7.602E+00  7.750E-01    7.10 um     1.69 um     1.71 um  
  60.00 keV   7.971E+00  7.306E-01    7.63 um     1.75 um     1.79 um  
  65.00 keV   8.328E+00  6.915E-01    8.15 um     1.81 um     1.87 um  
  70.00 keV   8.672E+00  6.569E-01    8.65 um     1.85 um     1.95 um  
  80.00 keV   9.328E+00  5.982E-01    9.61 um     1.94 um     2.08 um  
  90.00 keV   9.949E+00  5.501E-01   10.53 um     2.02 um     2.20 um  
 100.00 keV   1.054E+01  5.100E-01   11.40 um     2.09 um     2.30 um  
 110.00 keV   1.110E+01  4.759E-01   12.24 um     2.14 um     2.40 um  
 120.00 keV   1.165E+01  4.465E-01   13.04 um     2.19 um     2.48 um  
 130.00 keV   1.217E+01  4.209E-01   13.81 um     2.24 um     2.56 um  
 140.00 keV   1.267E+01  3.984E-01   14.56 um     2.28 um     2.63 um  
 150.00 keV   1.316E+01  3.784E-01   15.28 um     2.32 um     2.70 um  
 160.00 keV   1.363E+01  3.605E-01   15.98 um     2.35 um     2.76 um  
 170.00 keV   1.408E+01  3.444E-01   16.66 um     2.38 um     2.82 um  
 180.00 keV   1.453E+01  3.298E-01   17.32 um     2.41 um     2.87 um  
 200.00 keV   1.538E+01  3.043E-01   18.59 um     2.46 um     2.97 um  
 225.00 keV   1.639E+01  2.780E-01   20.10 um     2.52 um     3.08 um  
 250.00 keV   1.734E+01  2.562E-01   21.52 um     2.57 um     3.18 um  
 275.00 keV   1.825E+01  2.379E-01   22.88 um     2.61 um     3.26 um  
 300.00 keV   1.911E+01  2.222E-01   24.18 um     2.65 um     3.33 um  
 325.00 keV   1.993E+01  2.087E-01   25.42 um     2.69 um     3.40 um  
 350.00 keV   2.071E+01  1.968E-01   26.62 um     2.72 um     3.46 um  
 375.00 keV   2.145E+01  1.863E-01   27.78 um     2.74 um     3.52 um  
 400.00 keV   2.217E+01  1.770E-01   28.90 um     2.77 um     3.57 um  
 450.00 keV   2.350E+01  1.611E-01   31.05 um     2.82 um     3.66 um  
 500.00 keV   2.473E+01  1.480E-01   33.09 um     2.86 um     3.74 um  
 550.00 keV   2.586E+01  1.370E-01   35.03 um     2.90 um     3.82 um  
 600.00 keV   2.690E+01  1.277E-01   36.90 um     2.93 um     3.88 um  
 650.00 keV   2.785E+01  1.196E-01   38.71 um     2.96 um     3.94 um  
 700.00 keV   2.872E+01  1.126E-01   40.46 um     2.99 um     3.99 um  
 800.00 keV   3.025E+01  1.009E-01   43.81 um     3.06 um     4.08 um  
 900.00 keV   3.150E+01  9.159E-02   47.03 um     3.12 um     4.16 um  
   1.00 MeV   3.252E+01  8.395E-02   50.13 um     3.17 um     4.24 um  
   1.10 MeV   3.333E+01  7.756E-02   53.14 um     3.22 um     4.30 um  
   1.20 MeV   3.396E+01  7.213E-02   56.10 um     3.26 um     4.36 um  
   1.30 MeV   3.442E+01  6.747E-02   59.01 um     3.30 um     4.41 um  
   1.40 MeV   3.475E+01  6.341E-02   61.88 um     3.34 um     4.46 um  
   1.50 MeV   3.495E+01  5.984E-02   64.74 um     3.38 um     4.51 um  
   1.60 MeV   3.506E+01  5.668E-02   67.59 um     3.42 um     4.56 um  
   1.70 MeV   3.508E+01  5.385E-02   70.43 um     3.46 um     4.60 um  
   1.80 MeV   3.503E+01  5.131E-02   73.27 um     3.49 um     4.65 um  
   2.00 MeV   3.475E+01  4.694E-02   78.98 um     3.60 um     4.73 um  
   2.25 MeV   3.419E+01  4.247E-02   86.21 um     3.77 um     4.82 um  
   2.50 MeV   3.348E+01  3.883E-02   93.59 um     3.94 um     4.92 um  
   2.75 MeV   3.269E+01  3.579E-02  101.13 um     4.10 um     5.01 um  
   3.00 MeV   3.187E+01  3.322E-02  108.85 um     4.27 um     5.10 um  
   3.25 MeV   3.105E+01  3.102E-02  116.79 um     4.44 um     5.18 um  
   3.50 MeV   3.025E+01  2.911E-02  124.93 um     4.61 um     5.27 um  
   3.75 MeV   2.946E+01  2.743E-02  133.29 um     4.78 um     5.36 um  
   4.00 MeV   2.871E+01  2.594E-02  141.87 um     4.95 um     5.45 um  
   4.50 MeV   2.729E+01  2.344E-02  159.71 um     5.60 um     5.64 um  
   5.00 MeV   2.600E+01  2.139E-02  178.46 um     6.23 um     5.83 um  
   5.50 MeV   2.482E+01  1.969E-02  198.12 um     6.86 um     6.03 um  
   6.00 MeV   2.375E+01  1.826E-02  218.69 um     7.49 um     6.23 um  
   6.50 MeV   2.276E+01  1.703E-02  240.17 um     8.13 um     6.45 um  
   7.00 MeV   2.186E+01  1.597E-02  262.56 um     8.76 um     6.67 um  
   8.00 MeV   2.027E+01  1.421E-02  310.03 um    11.11 um     7.15 um  
   9.00 MeV   1.890E+01  1.281E-02  361.09 um    13.32 um     7.68 um  
  10.00 MeV   1.772E+01  1.168E-02  415.70 um    15.47 um     8.24 um  
  11.00 MeV   1.668E+01  1.074E-02  473.83 um    17.59 um     8.85 um  
  12.00 MeV   1.576E+01  9.952E-03  535.46 um    19.70 um     9.50 um  
  13.00 MeV   1.495E+01  9.274E-03  600.56 um    21.83 um    10.19 um  
  14.00 MeV   1.422E+01  8.687E-03  669.09 um    23.96 um    10.92 um  
  15.00 MeV   1.360E+01  8.173E-03  740.96 um    26.11 um    11.69 um  
  16.00 MeV   1.297E+01  7.720E-03  816.21 um    28.29 um    12.51 um  
  17.00 MeV   1.236E+01  7.316E-03  895.13 um    30.50 um    13.36 um  
  18.00 MeV   1.186E+01  6.955E-03  977.67 um    32.75 um    14.25 um  
  20.00 MeV   1.098E+01  6.334E-03    1.15 mm    41.25 um    16.16 um  
  22.50 MeV   1.006E+01  5.705E-03    1.39 mm    53.44 um    18.77 um  
  25.00 MeV   9.295E+00  5.194E-03    1.65 mm    64.97 um    21.60 um  
  27.50 MeV   8.648E+00  4.771E-03    1.93 mm    76.22 um    24.65 um  
  30.00 MeV   8.093E+00  4.414E-03    2.23 mm    87.39 um    27.93 um  
  32.50 MeV   7.611E+00  4.110E-03    2.54 mm    98.58 um    31.41 um  
  35.00 MeV   7.187E+00  3.846E-03    2.88 mm   109.83 um    35.10 um  
  37.50 MeV   6.813E+00  3.616E-03    3.24 mm   121.18 um    38.99 um  
  40.00 MeV   6.478E+00  3.413E-03    3.62 mm   132.66 um    43.08 um  
  45.00 MeV   5.907E+00  3.071E-03    4.42 mm   175.69 um    51.84 um  
  50.00 MeV   5.436E+00  2.793E-03    5.31 mm   216.09 um    61.37 um  
  55.00 MeV   5.040E+00  2.564E-03    6.26 mm   255.48 um    71.64 um  
  60.00 MeV   4.703E+00  2.371E-03    7.29 mm   294.56 um    82.63 um  
  65.00 MeV   4.411E+00  2.206E-03    8.39 mm   333.69 um    94.35 um  
  70.00 MeV   4.157E+00  2.063E-03    9.55 mm   373.09 um   106.76 um  
  80.00 MeV   3.734E+00  1.829E-03   12.09 mm   519.24 um   133.67 um  
  90.00 MeV   3.395E+00  1.644E-03   14.90 mm   655.32 um   163.27 um  
 100.00 MeV   3.117E+00  1.495E-03   17.97 mm   788.08 um   195.50 um  
 110.00 MeV   2.886E+00  1.371E-03   21.31 mm   920.18 um   230.30 um  
 120.00 MeV   2.689E+00  1.267E-03   24.89 mm     1.05 mm   267.63 um  
 130.00 MeV   2.519E+00  1.178E-03   28.74 mm     1.19 mm   307.42 um  
 140.00 MeV   2.372E+00  1.102E-03   32.82 mm     1.32 mm   349.65 um  
 150.00 MeV   2.243E+00  1.035E-03   37.16 mm     1.46 mm   394.27 um  
 160.00 MeV   2.128E+00  9.758E-04   41.73 mm     1.60 mm   441.24 um  
 170.00 MeV   2.026E+00  9.234E-04   46.55 mm     1.74 mm   490.53 um  
 180.00 MeV   1.934E+00  8.766E-04   51.60 mm     1.89 mm   542.10 um  
 200.00 MeV   1.775E+00  7.964E-04   62.39 mm     2.43 mm   652.01 um  
 225.00 MeV   1.614E+00  7.153E-04   77.16 mm     3.21 mm   801.74 um  
 250.00 MeV   1.482E+00  6.497E-04   93.32 mm     3.95 mm   964.77 um  
 275.00 MeV   1.373E+00  5.956E-04  110.84 mm     4.67 mm     1.14 mm  
 300.00 MeV   1.280E+00  5.500E-04  129.70 mm     5.39 mm     1.33 mm  
 325.00 MeV   1.201E+00  5.112E-04  149.86 mm     6.11 mm     1.53 mm  
 350.00 MeV   1.132E+00  4.777E-04  171.30 mm     6.83 mm     1.74 mm  
 375.00 MeV   1.072E+00  4.484E-04  193.99 mm     7.56 mm     1.97 mm  
 400.00 MeV   1.018E+00  4.227E-04  217.91 mm     8.29 mm     2.20 mm  
 450.00 MeV   9.286E-01  3.794E-04  269.32 mm    11.05 mm     2.71 mm  
 500.00 MeV   8.556E-01  3.444E-04  325.40 mm    13.63 mm     3.25 mm  
 550.00 MeV   7.951E-01  3.156E-04  386.01 mm    16.12 mm     3.84 mm  
 600.00 MeV   7.441E-01  2.913E-04  451.01 mm    18.59 mm     4.47 mm  
 650.00 MeV   7.004E-01  2.707E-04  520.26 mm    21.04 mm     5.13 mm  
 700.00 MeV   6.627E-01  2.528E-04  593.63 mm    23.49 mm     5.83 mm  
 800.00 MeV   6.006E-01  2.236E-04  752.12 mm    32.53 mm     7.33 mm  
 900.00 MeV   5.517E-01  2.006E-04  925.82 mm    40.82 mm     8.96 mm  
   1.00 GeV   5.122E-01  1.820E-04    1.11 m     48.79 mm    10.71 mm  
   1.10 GeV   4.795E-01  1.667E-04    1.32 m     56.59 mm    12.57 mm  
   1.20 GeV   4.520E-01  1.538E-04    1.53 m     64.30 mm    14.53 mm  
   1.30 GeV   4.287E-01  1.428E-04    1.76 m     71.95 mm    16.58 mm  
   1.40 GeV   4.085E-01  1.334E-04    2.00 m     79.57 mm    18.73 mm  
   1.50 GeV   3.910E-01  1.251E-04    2.25 m     87.17 mm    20.96 mm  
   1.60 GeV   3.756E-01  1.179E-04    2.51 m     94.75 mm    23.26 mm  
   1.70 GeV   3.620E-01  1.115E-04    2.78 m    102.31 mm    25.64 mm  
   1.80 GeV   3.498E-01  1.057E-04    3.06 m    109.85 mm    28.08 mm  
   2.00 GeV   3.292E-01  9.589E-05    3.65 m    138.08 mm    33.16 mm  
   2.25 GeV   3.084E-01  8.597E-05    4.43 m    177.36 mm    39.81 mm  
   2.50 GeV   2.919E-01  7.797E-05    5.27 m    213.15 mm    46.75 mm  
   2.75 GeV   2.784E-01  7.137E-05    6.14 m    246.83 mm    53.94 mm  
   3.00 GeV   2.672E-01  6.583E-05    7.06 m    279.02 mm    61.32 mm  
   3.25 GeV   2.578E-01  6.111E-05    8.01 m    310.07 mm    68.88 mm  
   3.50 GeV   2.498E-01  5.705E-05    9.00 m    340.16 mm    76.57 mm  
   3.75 GeV   2.429E-01  5.350E-05   10.01 m    369.44 mm    84.37 mm  
   4.00 GeV   2.370E-01  5.039E-05   11.05 m    397.99 mm    92.26 mm  
   4.50 GeV   2.272E-01  4.516E-05   13.21 m    501.68 mm   108.25 mm  
   5.00 GeV   2.197E-01  4.094E-05   15.45 m    593.59 mm   124.40 mm  
   5.50 GeV   2.137E-01  3.746E-05   17.75 m    677.80 mm   140.62 mm  
   6.00 GeV   2.088E-01  3.454E-05   20.12 m    756.35 mm   156.83 mm  
   6.50 GeV   2.049E-01  3.206E-05   22.54 m    830.38 mm   172.99 mm  
   7.00 GeV   2.017E-01  2.992E-05   25.00 m    900.66 mm   189.04 mm  
   8.00 GeV   1.968E-01  2.641E-05   30.01 m      1.15 m    220.73 mm  
   9.00 GeV   1.935E-01  2.366E-05   35.14 m      1.36 m    251.73 mm  
  10.00 GeV   1.911E-01  2.145E-05   40.34 m      1.54 m    281.95 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  8.2572E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
