 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in Nitrogen (gas).txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.49999 eV    1.317E-01  1.424E+00      42 A        28 A        20 A   
5.99999 eV    1.376E-01  1.496E+00      43 A        29 A        21 A   
6.49999 eV    1.432E-01  1.565E+00      45 A        30 A        22 A   
6.99999 eV    1.486E-01  1.632E+00      46 A        31 A        22 A   
7.99999 eV    1.589E-01  1.758E+00      49 A        33 A        24 A   
8.99999 eV    1.685E-01  1.875E+00      52 A        35 A        25 A   
9.99999 eV    1.776E-01  1.986E+00      54 A        36 A        26 A   
10.9999 eV    1.863E-01  2.092E+00      57 A        38 A        27 A   
11.9999 eV    1.946E-01  2.192E+00      59 A        40 A        29 A   
12.9999 eV    2.025E-01  2.287E+00      61 A        41 A        30 A   
13.9999 eV    2.102E-01  2.379E+00      63 A        42 A        31 A   
14.9999 eV    2.176E-01  2.467E+00      65 A        44 A        32 A   
15.9999 eV    2.247E-01  2.551E+00      67 A        45 A        32 A   
16.9999 eV    2.316E-01  2.633E+00      69 A        46 A        33 A   
17.9999 eV    2.383E-01  2.712E+00      70 A        48 A        34 A   
19.9999 eV    2.512E-01  2.862E+00      74 A        50 A        36 A   
22.4999 eV    2.665E-01  3.037E+00      78 A        53 A        38 A   
24.9999 eV    2.809E-01  3.202E+00      82 A        55 A        39 A   
27.4999 eV    2.946E-01  3.356E+00      86 A        58 A        41 A   
29.9999 eV    3.077E-01  3.501E+00      89 A        60 A        43 A   
32.4999 eV    3.202E-01  3.639E+00      93 A        62 A        44 A   
34.9999 eV    3.323E-01  3.771E+00      96 A        64 A        46 A   
37.4999 eV    3.440E-01  3.896E+00      99 A        66 A        47 A   
39.9999 eV    3.553E-01  4.016E+00     103 A        68 A        49 A   
44.9999 eV    3.768E-01  4.242E+00     109 A        72 A        51 A   
49.9999 eV    3.972E-01  4.451E+00     114 A        76 A        54 A   
54.9999 eV    4.166E-01  4.646E+00     120 A        79 A        56 A   
59.9999 eV    4.351E-01  4.829E+00     125 A        82 A        59 A   
64.9999 eV    4.529E-01  5.001E+00     131 A        85 A        61 A   
69.9999 eV    4.700E-01  5.164E+00     136 A        88 A        63 A   
79.9999 eV    5.024E-01  5.466E+00     146 A        94 A        67 A   
89.9999 eV    5.329E-01  5.740E+00     155 A        99 A        71 A   
99.9999 eV    5.617E-01  5.992E+00     164 A       104 A        75 A   
    110 eV    5.892E-01  6.225E+00     173 A       109 A        78 A   
    120 eV    6.154E-01  6.441E+00     181 A       114 A        82 A   
    130 eV    6.405E-01  6.643E+00     189 A       118 A        85 A   
139.999 eV    6.647E-01  6.833E+00     197 A       123 A        88 A   
149.999 eV    6.880E-01  7.011E+00     205 A       127 A        91 A   
159.999 eV    7.106E-01  7.180E+00     213 A       131 A        94 A   
169.999 eV    7.324E-01  7.340E+00     220 A       135 A        97 A   
179.999 eV    7.537E-01  7.492E+00     227 A       139 A       100 A   
199.999 eV    7.944E-01  7.774E+00     242 A       147 A       105 A   
224.999 eV    8.426E-01  8.093E+00     259 A       156 A       112 A   
249.999 eV    8.882E-01  8.381E+00     276 A       164 A       119 A   
274.999 eV    9.316E-01  8.643E+00     292 A       173 A       125 A   
299.999 eV    9.730E-01  8.883E+00     308 A       181 A       131 A   
324.999 eV    1.013E+00  9.103E+00     323 A       189 A       136 A   
349.999 eV    1.051E+00  9.307E+00     339 A       196 A       142 A   
374.999 eV    1.088E+00  9.497E+00     354 A       204 A       148 A   
399.999 eV    1.123E+00  9.674E+00     368 A       211 A       153 A   
449.999 eV    1.192E+00  9.995E+00     397 A       225 A       163 A   
499.999 eV    1.256E+00  1.028E+01     425 A       239 A       174 A   
549.999 eV    1.317E+00  1.053E+01     453 A       252 A       183 A   
599.999 eV    1.376E+00  1.076E+01     480 A       265 A       193 A   
649.999 eV    1.432E+00  1.097E+01     506 A       277 A       202 A   
699.999 eV    1.486E+00  1.116E+01     532 A       289 A       211 A   
799.999 eV    1.589E+00  1.149E+01     583 A       313 A       229 A   
899.999 eV    1.685E+00  1.177E+01     633 A       336 A       246 A   
999.999 eV    1.776E+00  1.201E+01     682 A       358 A       262 A   
   1.10 keV   1.863E+00  1.222E+01     730 A       380 A       278 A   
   1.20 keV   1.946E+00  1.240E+01     778 A       401 A       294 A   
   1.30 keV   2.025E+00  1.256E+01     825 A       422 A       309 A   
   1.40 keV   2.102E+00  1.270E+01     871 A       443 A       324 A   
   1.50 keV   2.176E+00  1.283E+01     917 A       463 A       339 A   
   1.60 keV   2.247E+00  1.294E+01     963 A       483 A       353 A   
   1.70 keV   2.316E+00  1.304E+01    1008 A       503 A       367 A   
   1.80 keV   2.383E+00  1.312E+01    1053 A       522 A       382 A   
   2.00 keV   2.512E+00  1.327E+01    1142 A       560 A       409 A   
   2.25 keV   2.665E+00  1.341E+01    1252 A       607 A       443 A   
   2.50 keV   2.809E+00  1.352E+01    1361 A       653 A       476 A   
   2.75 keV   2.946E+00  1.360E+01    1470 A       698 A       508 A   
   3.00 keV   3.077E+00  1.365E+01    1577 A       742 A       540 A   
   3.25 keV   3.202E+00  1.369E+01    1685 A       786 A       571 A   
   3.50 keV   3.323E+00  1.371E+01    1791 A       829 A       601 A   
   3.75 keV   3.440E+00  1.372E+01    1898 A       871 A       631 A   
   4.00 keV   3.553E+00  1.372E+01    2004 A       914 A       661 A   
   4.50 keV   3.768E+00  1.369E+01    2216 A       997 A       720 A   
   5.00 keV   3.972E+00  1.364E+01    2427 A      1079 A       778 A   
   5.50 keV   4.166E+00  1.357E+01    2639 A      1159 A       835 A   
   6.00 keV   4.351E+00  1.348E+01    2850 A      1239 A       891 A   
   6.50 keV   4.529E+00  1.339E+01    3062 A      1317 A       946 A   
   7.00 keV   4.700E+00  1.329E+01    3273 A      1395 A      1001 A   
   8.00 keV   5.024E+00  1.308E+01    3698 A      1548 A      1109 A   
   9.00 keV   5.329E+00  1.285E+01    4124 A      1698 A      1216 A   
  10.00 keV   5.617E+00  1.263E+01    4551 A      1846 A      1321 A   
  11.00 keV   5.892E+00  1.241E+01    4981 A      1991 A      1425 A   
  12.00 keV   6.154E+00  1.219E+01    5412 A      2133 A      1529 A   
  13.00 keV   6.405E+00  1.197E+01    5844 A      2274 A      1631 A   
  14.00 keV   6.647E+00  1.176E+01    6278 A      2412 A      1733 A   
  15.00 keV   6.880E+00  1.156E+01    6714 A      2548 A      1834 A   
  16.00 keV   7.106E+00  1.136E+01    7151 A      2683 A      1935 A   
  17.00 keV   7.324E+00  1.117E+01    7589 A      2815 A      2035 A   
  18.00 keV   7.537E+00  1.098E+01    8028 A      2946 A      2135 A   
  20.00 keV   7.944E+00  1.064E+01    8910 A      3201 A      2334 A   
  22.50 keV   8.426E+00  1.023E+01    1.00 um     3511 A      2579 A   
  25.00 keV   8.882E+00  9.859E+00    1.11 um     3811 A      2822 A   
  27.50 keV   9.316E+00  9.517E+00    1.22 um     4102 A      3062 A   
  30.00 keV   9.730E+00  9.201E+00    1.34 um     4383 A      3300 A   
  32.50 keV   1.012E+01  8.909E+00    1.45 um     4655 A      3535 A   
  35.00 keV   1.045E+01  8.638E+00    1.56 um     4920 A      3766 A   
  37.50 keV   1.074E+01  8.385E+00    1.67 um     5178 A      3996 A   
  40.00 keV   1.102E+01  8.149E+00    1.78 um     5431 A      4222 A   
  45.00 keV   1.152E+01  7.722E+00    2.01 um     5922 A      4669 A   
  50.00 keV   1.201E+01  7.344E+00    2.23 um     6392 A      5106 A   
  55.00 keV   1.248E+01  7.007E+00    2.46 um     6841 A      5536 A   
  60.00 keV   1.294E+01  6.705E+00    2.68 um     7272 A      5956 A   
  65.00 keV   1.340E+01  6.432E+00    2.91 um     7683 A      6369 A   
  70.00 keV   1.386E+01  6.184E+00    3.13 um     8077 A      6772 A   
  80.00 keV   1.474E+01  5.749E+00    3.57 um     8822 A      7554 A   
  90.00 keV   1.559E+01  5.380E+00    4.01 um     9506 A      8301 A   
 100.00 keV   1.640E+01  5.063E+00    4.44 um     1.01 um     9014 A   
 110.00 keV   1.716E+01  4.786E+00    4.86 um     1.07 um     9694 A   
 120.00 keV   1.788E+01  4.541E+00    5.27 um     1.13 um     1.03 um  
 130.00 keV   1.856E+01  4.325E+00    5.68 um     1.18 um     1.10 um  
 140.00 keV   1.920E+01  4.130E+00    6.08 um     1.22 um     1.16 um  
 150.00 keV   1.980E+01  3.955E+00    6.47 um     1.27 um     1.21 um  
 160.00 keV   2.037E+01  3.796E+00    6.86 um     1.31 um     1.27 um  
 170.00 keV   2.091E+01  3.651E+00    7.24 um     1.35 um     1.32 um  
 180.00 keV   2.142E+01  3.519E+00    7.62 um     1.39 um     1.37 um  
 200.00 keV   2.238E+01  3.284E+00    8.37 um     1.46 um     1.47 um  
 225.00 keV   2.346E+01  3.036E+00    9.27 um     1.54 um     1.58 um  
 250.00 keV   2.445E+01  2.827E+00   10.16 um     1.62 um     1.68 um  
 275.00 keV   2.536E+01  2.648E+00   11.02 um     1.68 um     1.78 um  
 300.00 keV   2.622E+01  2.493E+00   11.86 um     1.74 um     1.87 um  
 325.00 keV   2.703E+01  2.357E+00   12.69 um     1.80 um     1.95 um  
 350.00 keV   2.781E+01  2.237E+00   13.50 um     1.85 um     2.03 um  
 375.00 keV   2.856E+01  2.130E+00   14.30 um     1.90 um     2.11 um  
 400.00 keV   2.929E+01  2.034E+00   15.07 um     1.95 um     2.18 um  
 450.00 keV   3.072E+01  1.868E+00   16.59 um     2.04 um     2.32 um  
 500.00 keV   3.211E+01  1.729E+00   18.06 um     2.11 um     2.44 um  
 550.00 keV   3.349E+01  1.612E+00   19.47 um     2.18 um     2.55 um  
 600.00 keV   3.486E+01  1.511E+00   20.84 um     2.24 um     2.65 um  
 650.00 keV   3.624E+01  1.423E+00   22.16 um     2.30 um     2.75 um  
 700.00 keV   3.764E+01  1.346E+00   23.44 um     2.35 um     2.83 um  
 800.00 keV   4.047E+01  1.216E+00   25.87 um     2.45 um     2.99 um  
 900.00 keV   4.335E+01  1.112E+00   28.15 um     2.53 um     3.13 um  
   1.00 MeV   4.629E+01  1.025E+00   30.30 um     2.60 um     3.25 um  
   1.10 MeV   4.928E+01  9.519E-01   32.33 um     2.66 um     3.35 um  
   1.20 MeV   5.229E+01  8.894E-01   34.24 um     2.71 um     3.44 um  
   1.30 MeV   5.532E+01  8.353E-01   36.05 um     2.76 um     3.53 um  
   1.40 MeV   5.834E+01  7.879E-01   37.76 um     2.80 um     3.60 um  
   1.50 MeV   6.135E+01  7.461E-01   39.40 um     2.83 um     3.67 um  
   1.60 MeV   6.433E+01  7.089E-01   40.96 um     2.86 um     3.73 um  
   1.70 MeV   6.726E+01  6.755E-01   42.45 um     2.89 um     3.79 um  
   1.80 MeV   7.014E+01  6.453E-01   43.88 um     2.91 um     3.84 um  
   2.00 MeV   7.568E+01  5.931E-01   46.58 um     2.97 um     3.93 um  
   2.25 MeV   8.214E+01  5.393E-01   49.71 um     3.03 um     4.02 um  
   2.50 MeV   8.799E+01  4.952E-01   52.62 um     3.08 um     4.10 um  
   2.75 MeV   9.319E+01  4.583E-01   55.35 um     3.13 um     4.17 um  
   3.00 MeV   9.774E+01  4.268E-01   57.95 um     3.17 um     4.23 um  
   3.25 MeV   1.017E+02  3.997E-01   60.43 um     3.20 um     4.29 um  
   3.50 MeV   1.050E+02  3.761E-01   62.84 um     3.23 um     4.33 um  
   3.75 MeV   1.078E+02  3.553E-01   65.17 um     3.26 um     4.38 um  
   4.00 MeV   1.101E+02  3.368E-01   67.45 um     3.29 um     4.42 um  
   4.50 MeV   1.135E+02  3.055E-01   71.90 um     3.37 um     4.49 um  
   5.00 MeV   1.156E+02  2.798E-01   76.24 um     3.44 um     4.55 um  
   5.50 MeV   1.168E+02  2.584E-01   80.53 um     3.51 um     4.61 um  
   6.00 MeV   1.173E+02  2.403E-01   84.78 um     3.58 um     4.67 um  
   6.50 MeV   1.174E+02  2.246E-01   89.03 um     3.64 um     4.72 um  
   7.00 MeV   1.171E+02  2.111E-01   93.28 um     3.70 um     4.76 um  
   8.00 MeV   1.159E+02  1.885E-01  101.84 um     3.91 um     4.85 um  
   9.00 MeV   1.142E+02  1.706E-01  110.51 um     4.12 um     4.93 um  
  10.00 MeV   1.123E+02  1.560E-01  119.32 um     4.32 um     5.01 um  
  11.00 MeV   1.103E+02  1.438E-01  128.28 um     4.52 um     5.09 um  
  12.00 MeV   1.083E+02  1.335E-01  137.42 um     4.72 um     5.16 um  
  13.00 MeV   1.062E+02  1.247E-01  146.73 um     4.92 um     5.23 um  
  14.00 MeV   1.041E+02  1.170E-01  156.22 um     5.11 um     5.31 um  
  15.00 MeV   1.021E+02  1.103E-01  165.91 um     5.31 um     5.38 um  
  16.00 MeV   1.001E+02  1.043E-01  175.79 um     5.51 um     5.45 um  
  17.00 MeV   9.813E+01  9.900E-02  185.86 um     5.70 um     5.52 um  
  18.00 MeV   9.623E+01  9.423E-02  196.14 um     5.90 um     5.59 um  
  20.00 MeV   9.257E+01  8.603E-02  217.31 um     6.64 um     5.73 um  
  22.50 MeV   8.831E+01  7.768E-02  244.93 um     7.74 um     5.92 um  
  25.00 MeV   8.439E+01  7.088E-02  273.87 um     8.78 um     6.11 um  
  27.50 MeV   8.078E+01  6.524E-02  304.12 um     9.80 um     6.31 um  
  30.00 MeV   7.746E+01  6.047E-02  335.70 um    10.80 um     6.51 um  
  32.50 MeV   7.460E+01  5.639E-02  368.57 um    11.78 um     6.73 um  
  35.00 MeV   7.242E+01  5.285E-02  402.55 um    12.76 um     6.95 um  
  37.50 MeV   7.001E+01  4.975E-02  437.64 um    13.72 um     7.18 um  
  40.00 MeV   6.774E+01  4.702E-02  473.91 um    14.67 um     7.42 um  
  45.00 MeV   6.389E+01  4.239E-02  549.88 um    18.24 um     7.93 um  
  50.00 MeV   6.052E+01  3.864E-02  630.25 um    21.54 um     8.47 um  
  55.00 MeV   5.755E+01  3.553E-02  714.93 um    24.70 um     9.04 um  
  60.00 MeV   5.490E+01  3.290E-02  803.84 um    27.76 um     9.64 um  
  65.00 MeV   5.250E+01  3.065E-02  896.93 um    30.78 um    10.28 um  
  70.00 MeV   5.033E+01  2.871E-02  994.15 um    33.76 um    10.94 um  
  80.00 MeV   4.652E+01  2.550E-02    1.20 mm    44.74 um    12.36 um  
  90.00 MeV   4.327E+01  2.297E-02    1.42 mm    54.82 um    13.89 um  
 100.00 MeV   4.045E+01  2.092E-02    1.66 mm    64.50 um    15.53 um  
 110.00 MeV   3.797E+01  1.921E-02    1.92 mm    74.00 um    17.27 um  
 120.00 MeV   3.577E+01  1.778E-02    2.19 mm    83.46 um    19.12 um  
 130.00 MeV   3.380E+01  1.655E-02    2.48 mm    92.94 um    21.08 um  
 140.00 MeV   3.204E+01  1.549E-02    2.78 mm   102.51 um    23.14 um  
 150.00 MeV   3.044E+01  1.457E-02    3.10 mm   112.18 um    25.31 um  
 160.00 MeV   2.899E+01  1.375E-02    3.44 mm   121.99 um    27.58 um  
 170.00 MeV   2.767E+01  1.302E-02    3.79 mm   131.94 um    29.95 um  
 180.00 MeV   2.646E+01  1.237E-02    4.16 mm   142.05 um    32.43 um  
 200.00 MeV   2.434E+01  1.125E-02    4.95 mm   180.83 um    37.71 um  
 225.00 MeV   2.213E+01  1.012E-02    6.02 mm   236.79 um    44.89 um  
 250.00 MeV   2.031E+01  9.209E-03    7.20 mm   289.96 um    52.71 um  
 275.00 MeV   1.880E+01  8.451E-03    8.48 mm   342.15 um    61.17 um  
 300.00 MeV   1.752E+01  7.813E-03    9.86 mm   394.13 um    70.25 um  
 325.00 MeV   1.643E+01  7.269E-03   11.33 mm   446.26 um    79.94 um  
 350.00 MeV   1.549E+01  6.798E-03   12.90 mm   498.70 um    90.22 um  
 375.00 MeV   1.468E+01  6.387E-03   14.56 mm   551.54 um   101.07 um  
 400.00 MeV   1.396E+01  6.025E-03   16.31 mm   604.82 um   112.47 um  
 450.00 MeV   1.274E+01  5.416E-03   20.05 mm   805.34 um   136.88 um  
 500.00 MeV   1.172E+01  4.922E-03   24.15 mm   992.67 um   163.38 um  
 550.00 MeV   1.085E+01  4.515E-03   28.58 mm     1.18 mm   191.95 um  
 600.00 MeV   1.012E+01  4.172E-03   33.35 mm     1.36 mm   222.56 um  
 650.00 MeV   9.484E+00  3.879E-03   38.45 mm     1.54 mm   255.16 um  
 700.00 MeV   8.936E+00  3.626E-03   43.89 mm     1.72 mm   289.72 um  
 800.00 MeV   8.031E+00  3.211E-03   55.69 mm     2.40 mm   364.58 um  
 900.00 MeV   7.313E+00  2.884E-03   68.74 mm     3.03 mm   446.81 um  
   1.00 GeV   6.730E+00  2.620E-03   82.99 mm     3.64 mm   536.14 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  2.2392E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
