 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Titanium in Nitrogen (gas).txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.99999 eV    1.045E-01  1.723E+00      60 A        23 A        17 A   
6.49999 eV    1.088E-01  1.813E+00      62 A        24 A        18 A   
6.99999 eV    1.129E-01  1.899E+00      63 A        25 A        18 A   
7.99999 eV    1.207E-01  2.064E+00      67 A        26 A        19 A   
8.99999 eV    1.280E-01  2.220E+00      70 A        28 A        20 A   
9.99999 eV    1.349E-01  2.370E+00      73 A        29 A        21 A   
10.9999 eV    1.415E-01  2.512E+00      76 A        30 A        22 A   
11.9999 eV    1.478E-01  2.649E+00      79 A        31 A        23 A   
12.9999 eV    1.538E-01  2.782E+00      81 A        32 A        24 A   
13.9999 eV    1.596E-01  2.909E+00      84 A        33 A        25 A   
14.9999 eV    1.652E-01  3.033E+00      86 A        34 A        26 A   
15.9999 eV    1.707E-01  3.153E+00      88 A        35 A        26 A   
16.9999 eV    1.759E-01  3.269E+00      91 A        36 A        27 A   
17.9999 eV    1.810E-01  3.383E+00      93 A        37 A        28 A   
19.9999 eV    1.908E-01  3.601E+00      97 A        39 A        29 A   
22.4999 eV    2.024E-01  3.860E+00     101 A        41 A        30 A   
24.9999 eV    2.133E-01  4.106E+00     106 A        43 A        32 A   
27.4999 eV    2.237E-01  4.340E+00     110 A        45 A        33 A   
29.9999 eV    2.337E-01  4.564E+00     114 A        46 A        34 A   
32.4999 eV    2.432E-01  4.778E+00     118 A        48 A        35 A   
34.9999 eV    2.524E-01  4.985E+00     121 A        49 A        36 A   
37.4999 eV    2.613E-01  5.185E+00     125 A        51 A        37 A   
39.9999 eV    2.698E-01  5.378E+00     128 A        52 A        38 A   
44.9999 eV    2.862E-01  5.746E+00     134 A        55 A        40 A   
49.9999 eV    3.017E-01  6.094E+00     140 A        57 A        42 A   
54.9999 eV    3.164E-01  6.423E+00     146 A        60 A        44 A   
59.9999 eV    3.305E-01  6.738E+00     151 A        62 A        45 A   
64.9999 eV    3.440E-01  7.038E+00     157 A        64 A        47 A   
69.9999 eV    3.570E-01  7.326E+00     162 A        66 A        48 A   
79.9999 eV    3.816E-01  7.871E+00     171 A        70 A        51 A   
89.9999 eV    4.048E-01  8.378E+00     180 A        74 A        53 A   
99.9999 eV    4.267E-01  8.854E+00     188 A        77 A        56 A   
    110 eV    4.475E-01  9.304E+00     196 A        80 A        58 A   
    120 eV    4.674E-01  9.730E+00     203 A        83 A        60 A   
    130 eV    4.865E-01  1.014E+01     211 A        86 A        62 A   
139.999 eV    5.048E-01  1.052E+01     218 A        89 A        64 A   
149.999 eV    5.225E-01  1.089E+01     224 A        91 A        66 A   
159.999 eV    5.397E-01  1.125E+01     231 A        94 A        68 A   
169.999 eV    5.563E-01  1.159E+01     237 A        96 A        70 A   
179.999 eV    5.724E-01  1.192E+01     243 A        99 A        71 A   
199.999 eV    6.034E-01  1.255E+01     255 A       103 A        75 A   
224.999 eV    6.400E-01  1.328E+01     269 A       108 A        78 A   
249.999 eV    6.746E-01  1.396E+01     283 A       113 A        82 A   
274.999 eV    7.075E-01  1.459E+01     296 A       118 A        85 A   
299.999 eV    7.390E-01  1.519E+01     308 A       123 A        89 A   
324.999 eV    7.692E-01  1.576E+01     320 A       127 A        92 A   
349.999 eV    7.982E-01  1.629E+01     331 A       131 A        95 A   
374.999 eV    8.262E-01  1.680E+01     342 A       135 A        98 A   
399.999 eV    8.533E-01  1.728E+01     353 A       139 A       101 A   
449.999 eV    9.051E-01  1.819E+01     374 A       146 A       106 A   
499.999 eV    9.540E-01  1.902E+01     394 A       153 A       111 A   
549.999 eV    1.001E+00  1.980E+01     413 A       160 A       116 A   
599.999 eV    1.045E+00  2.052E+01     432 A       166 A       121 A   
649.999 eV    1.088E+00  2.120E+01     450 A       172 A       126 A   
699.999 eV    1.129E+00  2.184E+01     467 A       178 A       130 A   
799.999 eV    1.207E+00  2.301E+01     500 A       189 A       139 A   
899.999 eV    1.280E+00  2.407E+01     532 A       199 A       147 A   
999.999 eV    1.349E+00  2.503E+01     563 A       209 A       154 A   
   1.10 keV   1.415E+00  2.591E+01     593 A       219 A       162 A   
   1.20 keV   1.478E+00  2.673E+01     622 A       228 A       169 A   
   1.30 keV   1.538E+00  2.749E+01     650 A       236 A       176 A   
   1.40 keV   1.596E+00  2.820E+01     677 A       245 A       183 A   
   1.50 keV   1.652E+00  2.886E+01     704 A       253 A       189 A   
   1.60 keV   1.707E+00  2.948E+01     730 A       261 A       195 A   
   1.70 keV   1.759E+00  3.007E+01     756 A       269 A       202 A   
   1.80 keV   1.810E+00  3.062E+01     781 A       276 A       208 A   
   2.00 keV   1.908E+00  3.164E+01     830 A       291 A       220 A   
   2.25 keV   2.024E+00  3.279E+01     889 A       309 A       234 A   
   2.50 keV   2.133E+00  3.381E+01     947 A       326 A       247 A   
   2.75 keV   2.237E+00  3.472E+01    1003 A       342 A       260 A   
   3.00 keV   2.337E+00  3.556E+01    1058 A       358 A       273 A   
   3.25 keV   2.432E+00  3.632E+01    1112 A       373 A       286 A   
   3.50 keV   2.524E+00  3.701E+01    1165 A       388 A       298 A   
   3.75 keV   2.613E+00  3.765E+01    1216 A       402 A       310 A   
   4.00 keV   2.698E+00  3.825E+01    1268 A       416 A       321 A   
   4.50 keV   2.862E+00  3.931E+01    1367 A       444 A       344 A   
   5.00 keV   3.017E+00  4.023E+01    1465 A       471 A       365 A   
   5.50 keV   3.164E+00  4.104E+01    1561 A       496 A       387 A   
   6.00 keV   3.305E+00  4.176E+01    1655 A       522 A       407 A   
   6.50 keV   3.440E+00  4.240E+01    1747 A       546 A       427 A   
   7.00 keV   3.570E+00  4.297E+01    1838 A       570 A       447 A   
   8.00 keV   3.816E+00  4.395E+01    2017 A       617 A       485 A   
   9.00 keV   4.048E+00  4.475E+01    2193 A       663 A       522 A   
  10.00 keV   4.267E+00  4.541E+01    2365 A       707 A       559 A   
  11.00 keV   4.475E+00  4.596E+01    2536 A       751 A       594 A   
  12.00 keV   4.674E+00  4.642E+01    2704 A       793 A       628 A   
  13.00 keV   4.865E+00  4.681E+01    2871 A       835 A       662 A   
  14.00 keV   5.048E+00  4.713E+01    3036 A       876 A       695 A   
  15.00 keV   5.225E+00  4.740E+01    3201 A       917 A       728 A   
  16.00 keV   5.397E+00  4.762E+01    3364 A       957 A       761 A   
  17.00 keV   5.563E+00  4.780E+01    3526 A       996 A       793 A   
  18.00 keV   5.724E+00  4.795E+01    3688 A      1036 A       824 A   
  20.00 keV   6.034E+00  4.816E+01    4010 A      1113 A       886 A   
  22.50 keV   6.400E+00  4.830E+01    4409 A      1209 A       963 A   
  25.00 keV   6.746E+00  4.834E+01    4807 A      1303 A      1038 A   
  27.50 keV   7.075E+00  4.829E+01    5203 A      1396 A      1111 A   
  30.00 keV   7.390E+00  4.818E+01    5599 A      1487 A      1184 A   
  32.50 keV   7.692E+00  4.802E+01    5994 A      1578 A      1256 A   
  35.00 keV   7.982E+00  4.783E+01    6390 A      1667 A      1327 A   
  37.50 keV   8.262E+00  4.761E+01    6785 A      1756 A      1397 A   
  40.00 keV   8.533E+00  4.737E+01    7181 A      1845 A      1467 A   
  45.00 keV   9.051E+00  4.683E+01    7976 A      2020 A      1606 A   
  50.00 keV   9.540E+00  4.625E+01    8773 A      2194 A      1743 A   
  55.00 keV   1.001E+01  4.565E+01    9575 A      2366 A      1880 A   
  60.00 keV   1.045E+01  4.504E+01    1.04 um     2536 A      2015 A   
  65.00 keV   1.088E+01  4.442E+01    1.12 um     2705 A      2149 A   
  70.00 keV   1.129E+01  4.381E+01    1.20 um     2872 A      2283 A   
  80.00 keV   1.207E+01  4.260E+01    1.37 um     3206 A      2550 A   
  90.00 keV   1.280E+01  4.145E+01    1.53 um     3536 A      2816 A   
 100.00 keV   1.394E+01  4.034E+01    1.70 um     3858 A      3081 A   
 110.00 keV   1.553E+01  3.929E+01    1.87 um     4170 A      3343 A   
 120.00 keV   1.691E+01  3.829E+01    2.03 um     4471 A      3604 A   
 130.00 keV   1.813E+01  3.735E+01    2.20 um     4763 A      3861 A   
 140.00 keV   1.922E+01  3.646E+01    2.36 um     5047 A      4115 A   
 150.00 keV   2.023E+01  3.561E+01    2.53 um     5323 A      4366 A   
 160.00 keV   2.116E+01  3.480E+01    2.69 um     5594 A      4615 A   
 170.00 keV   2.202E+01  3.404E+01    2.86 um     5858 A      4861 A   
 180.00 keV   2.284E+01  3.331E+01    3.02 um     6116 A      5104 A   
 200.00 keV   2.435E+01  3.196E+01    3.35 um     6625 A      5584 A   
 225.00 keV   2.603E+01  3.045E+01    3.76 um     7238 A      6172 A   
 250.00 keV   2.755E+01  2.909E+01    4.18 um     7823 A      6747 A   
 275.00 keV   2.892E+01  2.786E+01    4.59 um     8384 A      7311 A   
 300.00 keV   3.017E+01  2.676E+01    5.00 um     8924 A      7863 A   
 325.00 keV   3.131E+01  2.575E+01    5.42 um     9444 A      8406 A   
 350.00 keV   3.237E+01  2.483E+01    5.83 um     9946 A      8938 A   
 375.00 keV   3.335E+01  2.398E+01    6.24 um     1.04 um     9462 A   
 400.00 keV   3.427E+01  2.320E+01    6.65 um     1.09 um     9977 A   
 450.00 keV   3.593E+01  2.180E+01    7.48 um     1.18 um     1.10 um  
 500.00 keV   3.742E+01  2.059E+01    8.30 um     1.27 um     1.20 um  
 550.00 keV   3.878E+01  1.952E+01    9.12 um     1.35 um     1.29 um  
 600.00 keV   4.003E+01  1.858E+01    9.94 um     1.43 um     1.38 um  
 650.00 keV   4.121E+01  1.773E+01   10.76 um     1.51 um     1.47 um  
 700.00 keV   4.233E+01  1.697E+01   11.57 um     1.58 um     1.56 um  
 800.00 keV   4.443E+01  1.566E+01   13.18 um     1.72 um     1.73 um  
 900.00 keV   4.641E+01  1.456E+01   14.78 um     1.85 um     1.89 um  
   1.00 MeV   4.832E+01  1.363E+01   16.35 um     1.97 um     2.04 um  
   1.10 MeV   5.019E+01  1.282E+01   17.91 um     2.08 um     2.19 um  
   1.20 MeV   5.203E+01  1.211E+01   19.44 um     2.18 um     2.33 um  
   1.30 MeV   5.386E+01  1.149E+01   20.94 um     2.28 um     2.46 um  
   1.40 MeV   5.568E+01  1.094E+01   22.42 um     2.37 um     2.58 um  
   1.50 MeV   5.750E+01  1.044E+01   23.87 um     2.45 um     2.71 um  
   1.60 MeV   5.933E+01  9.996E+00   25.29 um     2.53 um     2.82 um  
   1.70 MeV   6.117E+01  9.590E+00   26.69 um     2.60 um     2.93 um  
   1.80 MeV   6.302E+01  9.220E+00   28.06 um     2.67 um     3.04 um  
   2.00 MeV   6.677E+01  8.569E+00   30.72 um     2.81 um     3.23 um  
   2.25 MeV   7.156E+01  7.887E+00   33.89 um     2.97 um     3.45 um  
   2.50 MeV   7.646E+01  7.316E+00   36.90 um     3.10 um     3.65 um  
   2.75 MeV   8.149E+01  6.831E+00   39.76 um     3.22 um     3.83 um  
   3.00 MeV   8.662E+01  6.413E+00   42.48 um     3.32 um     4.00 um  
   3.25 MeV   9.186E+01  6.048E+00   45.07 um     3.41 um     4.14 um  
   3.50 MeV   9.719E+01  5.726E+00   47.53 um     3.48 um     4.28 um  
   3.75 MeV   1.026E+02  5.441E+00   49.87 um     3.55 um     4.40 um  
   4.00 MeV   1.081E+02  5.185E+00   52.11 um     3.62 um     4.51 um  
   4.50 MeV   1.191E+02  4.746E+00   56.29 um     3.74 um     4.70 um  
   5.00 MeV   1.303E+02  4.382E+00   60.12 um     3.85 um     4.87 um  
   5.50 MeV   1.414E+02  4.075E+00   63.66 um     3.93 um     5.01 um  
   6.00 MeV   1.524E+02  3.811E+00   66.96 um     4.00 um     5.13 um  
   6.50 MeV   1.631E+02  3.583E+00   70.03 um     4.07 um     5.23 um  
   7.00 MeV   1.736E+02  3.383E+00   72.93 um     4.12 um     5.33 um  
   8.00 MeV   1.934E+02  3.048E+00   78.26 um     4.24 um     5.48 um  
   9.00 MeV   2.114E+02  2.778E+00   83.11 um     4.33 um     5.61 um  
  10.00 MeV   2.277E+02  2.556E+00   87.59 um     4.41 um     5.72 um  
  11.00 MeV   2.421E+02  2.369E+00   91.79 um     4.48 um     5.81 um  
  12.00 MeV   2.549E+02  2.210E+00   95.76 um     4.54 um     5.88 um  
  13.00 MeV   2.661E+02  2.073E+00   99.56 um     4.59 um     5.95 um  
  14.00 MeV   2.759E+02  1.952E+00  103.22 um     4.63 um     6.02 um  
  15.00 MeV   2.846E+02  1.847E+00  106.75 um     4.68 um     6.07 um  
  16.00 MeV   2.922E+02  1.752E+00  110.19 um     4.72 um     6.12 um  
  17.00 MeV   2.990E+02  1.668E+00  113.55 um     4.75 um     6.17 um  
  18.00 MeV   3.050E+02  1.592E+00  116.84 um     4.79 um     6.21 um  
  20.00 MeV   3.151E+02  1.461E+00  123.24 um     4.89 um     6.29 um  
  22.50 MeV   3.251E+02  1.326E+00  131.01 um     5.04 um     6.38 um  
  25.00 MeV   3.329E+02  1.216E+00  138.57 um     5.17 um     6.45 um  
  27.50 MeV   3.391E+02  1.123E+00  145.97 um     5.29 um     6.52 um  
  30.00 MeV   3.439E+02  1.045E+00  153.26 um     5.40 um     6.58 um  
  32.50 MeV   3.477E+02  9.777E-01  160.47 um     5.51 um     6.64 um  
  35.00 MeV   3.506E+02  9.190E-01  167.60 um     5.61 um     6.69 um  
  37.50 MeV   3.528E+02  8.674E-01  174.69 um     5.71 um     6.74 um  
  40.00 MeV   3.543E+02  8.217E-01  181.73 um     5.81 um     6.79 um  
  45.00 MeV   3.557E+02  7.442E-01  195.78 um     6.16 um     6.88 um  
  50.00 MeV   3.556E+02  6.809E-01  209.80 um     6.49 um     6.96 um  
  55.00 MeV   3.541E+02  6.281E-01  223.86 um     6.80 um     7.04 um  
  60.00 MeV   3.518E+02  5.834E-01  238.00 um     7.10 um     7.12 um  
  65.00 MeV   3.489E+02  5.450E-01  252.24 um     7.40 um     7.19 um  
  70.00 MeV   3.455E+02  5.116E-01  266.62 um     7.68 um     7.26 um  
  80.00 MeV   3.379E+02  4.564E-01  295.84 um     8.74 um     7.39 um  
  90.00 MeV   3.296E+02  4.126E-01  325.77 um     9.73 um     7.52 um  
 100.00 MeV   3.233E+02  3.768E-01  356.36 um    10.67 um     7.65 um  
 110.00 MeV   3.176E+02  3.471E-01  387.53 um    11.56 um     7.77 um  
 120.00 MeV   3.104E+02  3.220E-01  419.34 um    12.42 um     7.90 um  
 130.00 MeV   3.043E+02  3.005E-01  451.85 um    13.26 um     8.02 um  
 140.00 MeV   2.984E+02  2.818E-01  485.01 um    14.08 um     8.15 um  
 150.00 MeV   2.927E+02  2.654E-01  518.81 um    14.88 um     8.28 um  
 160.00 MeV   2.872E+02  2.509E-01  553.27 um    15.67 um     8.41 um  
 170.00 MeV   2.820E+02  2.380E-01  588.39 um    16.45 um     8.54 um  
 180.00 MeV   2.769E+02  2.265E-01  624.15 um    17.22 um     8.67 um  
 200.00 MeV   2.673E+02  2.066E-01  697.62 um    20.14 um     8.94 um  
 225.00 MeV   2.561E+02  1.864E-01  793.12 um    24.27 um     9.28 um  
 250.00 MeV   2.458E+02  1.699E-01  892.69 um    28.09 um     9.65 um  
 275.00 MeV   2.363E+02  1.563E-01  996.38 um    31.71 um    10.02 um  
 300.00 MeV   2.273E+02  1.448E-01    1.10 mm    35.20 um    10.42 um  
 325.00 MeV   2.190E+02  1.349E-01    1.22 mm    38.63 um    10.82 um  
 350.00 MeV   2.111E+02  1.264E-01    1.33 mm    42.00 um    11.25 um  
 375.00 MeV   2.037E+02  1.189E-01    1.45 mm    45.35 um    11.69 um  
 400.00 MeV   1.968E+02  1.123E-01    1.58 mm    48.68 um    12.15 um  
 450.00 MeV   1.841E+02  1.012E-01    1.84 mm    61.28 um    13.13 um  
 500.00 MeV   1.727E+02  9.221E-02    2.12 mm    73.03 um    14.18 um  
 550.00 MeV   1.626E+02  8.473E-02    2.42 mm    84.38 um    15.30 um  
 600.00 MeV   1.536E+02  7.843E-02    2.74 mm    95.55 um    16.50 um  
 650.00 MeV   1.455E+02  7.303E-02    3.07 mm   106.65 um    17.77 um  
 700.00 MeV   1.382E+02  6.837E-02    3.42 mm   117.77 um    19.11 um  
 800.00 MeV   1.259E+02  6.069E-02    4.18 mm   159.35 um    22.02 um  
 900.00 MeV   1.159E+02  5.463E-02    5.01 mm   197.83 um    25.20 um  
   1.00 GeV   1.078E+02  4.972E-02    5.90 mm   234.93 um    28.65 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  6.8763E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
