 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in Nitrogen (gas)6-2.txt

 Ion = Magnesium [12] , Mass = 23.985 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.49999 eV    7.820E-02  1.611E+00      46 A        25 A        19 A   
5.99999 eV    8.168E-02  1.697E+00      48 A        26 A        19 A   
6.49999 eV    8.502E-02  1.779E+00      49 A        27 A        20 A   
6.99999 eV    8.822E-02  1.858E+00      51 A        28 A        21 A   
7.99999 eV    9.432E-02  2.009E+00      54 A        30 A        22 A   
8.99999 eV    1.000E-01  2.151E+00      57 A        32 A        23 A   
9.99999 eV    1.054E-01  2.286E+00      59 A        33 A        24 A   
10.9999 eV    1.106E-01  2.414E+00      62 A        35 A        25 A   
11.9999 eV    1.155E-01  2.536E+00      64 A        36 A        26 A   
12.9999 eV    1.202E-01  2.653E+00      66 A        37 A        27 A   
13.9999 eV    1.248E-01  2.766E+00      68 A        39 A        28 A   
14.9999 eV    1.291E-01  2.875E+00      70 A        40 A        29 A   
15.9999 eV    1.334E-01  2.979E+00      72 A        41 A        30 A   
16.9999 eV    1.375E-01  3.081E+00      74 A        42 A        31 A   
17.9999 eV    1.415E-01  3.179E+00      76 A        43 A        31 A   
19.9999 eV    1.491E-01  3.367E+00      79 A        45 A        33 A   
22.4999 eV    1.582E-01  3.589E+00      83 A        48 A        35 A   
24.9999 eV    1.667E-01  3.797E+00      87 A        50 A        36 A   
27.4999 eV    1.749E-01  3.994E+00      91 A        52 A        38 A   
29.9999 eV    1.826E-01  4.181E+00      94 A        54 A        39 A   
32.4999 eV    1.901E-01  4.360E+00      98 A        56 A        40 A   
34.9999 eV    1.973E-01  4.530E+00     101 A        58 A        42 A   
37.4999 eV    2.042E-01  4.694E+00     104 A        59 A        43 A   
39.9999 eV    2.109E-01  4.851E+00     107 A        61 A        44 A   
44.9999 eV    2.237E-01  5.148E+00     113 A        64 A        46 A   
49.9999 eV    2.358E-01  5.426E+00     119 A        67 A        49 A   
54.9999 eV    2.473E-01  5.688E+00     124 A        70 A        51 A   
59.9999 eV    2.583E-01  5.934E+00     129 A        73 A        53 A   
64.9999 eV    2.688E-01  6.168E+00     134 A        76 A        54 A   
69.9999 eV    2.790E-01  6.391E+00     139 A        78 A        56 A   
79.9999 eV    2.983E-01  6.806E+00     148 A        83 A        60 A   
89.9999 eV    3.163E-01  7.189E+00     157 A        87 A        63 A   
99.9999 eV    3.335E-01  7.543E+00     165 A        92 A        66 A   
    110 eV    3.497E-01  7.873E+00     173 A        96 A        69 A   
    120 eV    3.653E-01  8.183E+00     180 A        99 A        72 A   
    130 eV    3.802E-01  8.475E+00     188 A       103 A        74 A   
139.999 eV    3.946E-01  8.751E+00     195 A       107 A        77 A   
149.999 eV    4.084E-01  9.013E+00     202 A       110 A        79 A   
159.999 eV    4.218E-01  9.262E+00     209 A       113 A        82 A   
169.999 eV    4.348E-01  9.499E+00     215 A       117 A        84 A   
179.999 eV    4.474E-01  9.727E+00     222 A       120 A        86 A   
199.999 eV    4.716E-01  1.015E+01     234 A       126 A        91 A   
224.999 eV    5.002E-01  1.064E+01     250 A       133 A        96 A   
249.999 eV    5.272E-01  1.109E+01     264 A       139 A       101 A   
274.999 eV    5.530E-01  1.150E+01     278 A       146 A       106 A   
299.999 eV    5.776E-01  1.188E+01     292 A       152 A       110 A   
324.999 eV    6.012E-01  1.223E+01     305 A       158 A       115 A   
349.999 eV    6.238E-01  1.257E+01     318 A       164 A       119 A   
374.999 eV    6.457E-01  1.288E+01     331 A       170 A       123 A   
399.999 eV    6.669E-01  1.317E+01     343 A       175 A       127 A   
449.999 eV    7.074E-01  1.371E+01     367 A       186 A       135 A   
499.999 eV    7.456E-01  1.420E+01     391 A       196 A       143 A   
549.999 eV    7.820E-01  1.464E+01     413 A       206 A       150 A   
599.999 eV    8.168E-01  1.505E+01     435 A       215 A       157 A   
649.999 eV    8.502E-01  1.542E+01     457 A       224 A       164 A   
699.999 eV    8.822E-01  1.577E+01     478 A       233 A       171 A   
799.999 eV    9.432E-01  1.639E+01     520 A       250 A       184 A   
899.999 eV    1.000E+00  1.693E+01     560 A       267 A       197 A   
999.999 eV    1.054E+00  1.741E+01     599 A       283 A       209 A   
   1.10 keV   1.106E+00  1.784E+01     637 A       298 A       220 A   
   1.20 keV   1.155E+00  1.823E+01     674 A       313 A       232 A   
   1.30 keV   1.202E+00  1.858E+01     711 A       328 A       243 A   
   1.40 keV   1.248E+00  1.890E+01     747 A       342 A       253 A   
   1.50 keV   1.291E+00  1.919E+01     783 A       356 A       264 A   
   1.60 keV   1.334E+00  1.946E+01     818 A       370 A       274 A   
   1.70 keV   1.375E+00  1.970E+01     853 A       383 A       285 A   
   1.80 keV   1.415E+00  1.993E+01     887 A       397 A       295 A   
   2.00 keV   1.491E+00  2.034E+01     955 A       423 A       314 A   
   2.25 keV   1.582E+00  2.077E+01    1039 A       455 A       338 A   
   2.50 keV   1.667E+00  2.114E+01    1121 A       486 A       361 A   
   2.75 keV   1.749E+00  2.145E+01    1202 A       516 A       384 A   
   3.00 keV   1.826E+00  2.172E+01    1282 A       546 A       406 A   
   3.25 keV   1.901E+00  2.195E+01    1362 A       575 A       428 A   
   3.50 keV   1.973E+00  2.214E+01    1440 A       604 A       449 A   
   3.75 keV   2.042E+00  2.232E+01    1518 A       633 A       470 A   
   4.00 keV   2.109E+00  2.246E+01    1596 A       661 A       491 A   
   4.50 keV   2.237E+00  2.270E+01    1750 A       717 A       532 A   
   5.00 keV   2.358E+00  2.288E+01    1903 A       771 A       572 A   
   5.50 keV   2.473E+00  2.301E+01    2055 A       825 A       611 A   
   6.00 keV   2.583E+00  2.311E+01    2207 A       878 A       650 A   
   6.50 keV   2.688E+00  2.317E+01    2358 A       931 A       688 A   
   7.00 keV   2.790E+00  2.320E+01    2508 A       983 A       725 A   
   8.00 keV   2.983E+00  2.321E+01    2809 A      1087 A       799 A   
   9.00 keV   3.163E+00  2.316E+01    3110 A      1189 A       872 A   
  10.00 keV   3.335E+00  2.307E+01    3412 A      1290 A       943 A   
  11.00 keV   3.497E+00  2.295E+01    3714 A      1390 A      1014 A   
  12.00 keV   3.653E+00  2.281E+01    4017 A      1489 A      1084 A   
  13.00 keV   3.802E+00  2.265E+01    4321 A      1588 A      1153 A   
  14.00 keV   3.946E+00  2.248E+01    4627 A      1687 A      1222 A   
  15.00 keV   4.084E+00  2.230E+01    4934 A      1785 A      1291 A   
  16.00 keV   4.218E+00  2.212E+01    5243 A      1882 A      1360 A   
  17.00 keV   4.348E+00  2.193E+01    5553 A      1979 A      1428 A   
  18.00 keV   4.474E+00  2.174E+01    5865 A      2076 A      1496 A   
  20.00 keV   4.716E+00  2.136E+01    6494 A      2269 A      1632 A   
  22.50 keV   5.002E+00  2.089E+01    7290 A      2509 A      1801 A   
  25.00 keV   5.272E+00  2.042E+01    8096 A      2747 A      1970 A   
  27.50 keV   5.530E+00  1.997E+01    8912 A      2984 A      2140 A   
  30.00 keV   5.776E+00  1.954E+01    9738 A      3219 A      2309 A   
  32.50 keV   6.012E+00  1.913E+01    1.06 um     3453 A      2480 A   
  35.00 keV   6.238E+00  1.873E+01    1.14 um     3685 A      2650 A   
  37.50 keV   6.457E+00  1.835E+01    1.23 um     3916 A      2821 A   
  40.00 keV   6.669E+00  1.798E+01    1.31 um     4145 A      2993 A   
  45.00 keV   7.074E+00  1.729E+01    1.49 um     4602 A      3339 A   
  50.00 keV   7.657E+00  1.666E+01    1.66 um     5048 A      3687 A   
  55.00 keV   8.360E+00  1.609E+01    1.84 um     5480 A      4038 A   
  60.00 keV   8.890E+00  1.555E+01    2.02 um     5898 A      4387 A   
  65.00 keV   9.309E+00  1.506E+01    2.20 um     6307 A      4736 A   
  70.00 keV   9.654E+00  1.460E+01    2.38 um     6710 A      5083 A   
  80.00 keV   1.022E+01  1.377E+01    2.74 um     7503 A      5774 A   
  90.00 keV   1.070E+01  1.305E+01    3.11 um     8277 A      6461 A   
 100.00 keV   1.115E+01  1.241E+01    3.48 um     9033 A      7144 A   
 110.00 keV   1.159E+01  1.184E+01    3.86 um     9769 A      7825 A   
 120.00 keV   1.204E+01  1.133E+01    4.25 um     1.05 um     8502 A   
 130.00 keV   1.250E+01  1.087E+01    4.63 um     1.12 um     9174 A   
 140.00 keV   1.297E+01  1.045E+01    5.02 um     1.19 um     9840 A   
 150.00 keV   1.345E+01  1.006E+01    5.40 um     1.25 um     1.05 um  
 160.00 keV   1.393E+01  9.713E+00    5.79 um     1.31 um     1.12 um  
 170.00 keV   1.442E+01  9.389E+00    6.17 um     1.37 um     1.18 um  
 180.00 keV   1.492E+01  9.089E+00    6.55 um     1.43 um     1.24 um  
 200.00 keV   1.592E+01  8.552E+00    7.31 um     1.54 um     1.37 um  
 225.00 keV   1.717E+01  7.975E+00    8.23 um     1.67 um     1.51 um  
 250.00 keV   1.842E+01  7.482E+00    9.14 um     1.79 um     1.65 um  
 275.00 keV   1.963E+01  7.055E+00   10.02 um     1.90 um     1.79 um  
 300.00 keV   2.082E+01  6.680E+00   10.88 um     2.00 um     1.91 um  
 325.00 keV   2.197E+01  6.348E+00   11.72 um     2.09 um     2.03 um  
 350.00 keV   2.308E+01  6.052E+00   12.54 um     2.17 um     2.15 um  
 375.00 keV   2.415E+01  5.786E+00   13.34 um     2.25 um     2.25 um  
 400.00 keV   2.519E+01  5.545E+00   14.11 um     2.32 um     2.35 um  
 450.00 keV   2.716E+01  5.126E+00   15.62 um     2.45 um     2.54 um  
 500.00 keV   2.901E+01  4.773E+00   17.06 um     2.57 um     2.71 um  
 550.00 keV   3.075E+01  4.471E+00   18.45 um     2.67 um     2.87 um  
 600.00 keV   3.240E+01  4.209E+00   19.78 um     2.76 um     3.01 um  
 650.00 keV   3.398E+01  3.980E+00   21.07 um     2.85 um     3.14 um  
 700.00 keV   3.549E+01  3.777E+00   22.32 um     2.92 um     3.27 um  
 800.00 keV   3.839E+01  3.434E+00   24.71 um     3.06 um     3.48 um  
 900.00 keV   4.118E+01  3.153E+00   26.97 um     3.18 um     3.68 um  
   1.00 MeV   4.389E+01  2.920E+00   29.10 um     3.28 um     3.85 um  
   1.10 MeV   4.658E+01  2.722E+00   31.14 um     3.37 um     4.00 um  
   1.20 MeV   4.927E+01  2.551E+00   33.07 um     3.44 um     4.14 um  
   1.30 MeV   5.197E+01  2.403E+00   34.92 um     3.51 um     4.26 um  
   1.40 MeV   5.469E+01  2.273E+00   36.68 um     3.57 um     4.37 um  
   1.50 MeV   5.743E+01  2.157E+00   38.37 um     3.62 um     4.47 um  
   1.60 MeV   6.020E+01  2.054E+00   39.99 um     3.67 um     4.56 um  
   1.70 MeV   6.300E+01  1.961E+00   41.53 um     3.71 um     4.65 um  
   1.80 MeV   6.582E+01  1.877E+00   43.02 um     3.75 um     4.73 um  
   2.00 MeV   7.153E+01  1.730E+00   45.82 um     3.83 um     4.87 um  
   2.25 MeV   7.873E+01  1.579E+00   49.04 um     3.91 um     5.01 um  
   2.50 MeV   8.595E+01  1.454E+00   52.00 um     3.98 um     5.13 um  
   2.75 MeV   9.310E+01  1.349E+00   54.72 um     4.03 um     5.24 um  
   3.00 MeV   1.001E+02  1.259E+00   57.26 um     4.08 um     5.32 um  
   3.25 MeV   1.069E+02  1.182E+00   59.63 um     4.11 um     5.40 um  
   3.50 MeV   1.135E+02  1.114E+00   61.86 um     4.15 um     5.47 um  
   3.75 MeV   1.198E+02  1.054E+00   63.97 um     4.18 um     5.53 um  
   4.00 MeV   1.257E+02  1.001E+00   65.98 um     4.20 um     5.58 um  
   4.50 MeV   1.366E+02  9.104E-01   69.75 um     4.26 um     5.67 um  
   5.00 MeV   1.460E+02  8.359E-01   73.25 um     4.31 um     5.75 um  
   5.50 MeV   1.541E+02  7.735E-01   76.55 um     4.36 um     5.81 um  
   6.00 MeV   1.609E+02  7.204E-01   79.70 um     4.40 um     5.87 um  
   6.50 MeV   1.666E+02  6.747E-01   82.73 um     4.43 um     5.92 um  
   7.00 MeV   1.713E+02  6.348E-01   85.67 um     4.46 um     5.97 um  
   8.00 MeV   1.783E+02  5.685E-01   91.35 um     4.55 um     6.05 um  
   9.00 MeV   1.829E+02  5.156E-01   96.86 um     4.64 um     6.11 um  
  10.00 MeV   1.858E+02  4.723E-01  102.26 um     4.72 um     6.17 um  
  11.00 MeV   1.876E+02  4.362E-01  107.60 um     4.79 um     6.23 um  
  12.00 MeV   1.885E+02  4.055E-01  112.90 um     4.86 um     6.28 um  
  13.00 MeV   1.887E+02  3.791E-01  118.18 um     4.93 um     6.33 um  
  14.00 MeV   1.885E+02  3.562E-01  123.47 um     5.00 um     6.37 um  
  15.00 MeV   1.880E+02  3.361E-01  128.76 um     5.06 um     6.41 um  
  16.00 MeV   1.872E+02  3.182E-01  134.08 um     5.13 um     6.45 um  
  17.00 MeV   1.862E+02  3.023E-01  139.43 um     5.19 um     6.49 um  
  18.00 MeV   1.850E+02  2.880E-01  144.80 um     5.26 um     6.53 um  
  20.00 MeV   1.822E+02  2.633E-01  155.67 um     5.49 um     6.60 um  
  22.50 MeV   1.783E+02  2.381E-01  169.52 um     5.85 um     6.68 um  
  25.00 MeV   1.742E+02  2.176E-01  183.68 um     6.20 um     6.76 um  
  27.50 MeV   1.699E+02  2.005E-01  198.19 um     6.55 um     6.84 um  
  30.00 MeV   1.657E+02  1.861E-01  213.07 um     6.89 um     6.92 um  
  32.50 MeV   1.615E+02  1.737E-01  228.33 um     7.24 um     7.00 um  
  35.00 MeV   1.574E+02  1.630E-01  243.99 um     7.59 um     7.08 um  
  37.50 MeV   1.535E+02  1.535E-01  260.06 um     7.93 um     7.16 um  
  40.00 MeV   1.497E+02  1.452E-01  276.53 um     8.28 um     7.24 um  
  45.00 MeV   1.426E+02  1.311E-01  310.71 um     9.62 um     7.41 um  
  50.00 MeV   1.371E+02  1.196E-01  346.44 um    10.89 um     7.58 um  
  55.00 MeV   1.322E+02  1.101E-01  383.56 um    12.12 um     7.76 um  
  60.00 MeV   1.272E+02  1.021E-01  422.09 um    13.31 um     7.95 um  
  65.00 MeV   1.229E+02  9.517E-02  462.05 um    14.48 um     8.14 um  
  70.00 MeV   1.190E+02  8.919E-02  503.36 um    15.64 um     8.34 um  
  80.00 MeV   1.121E+02  7.934E-02  589.91 um    19.90 um     8.76 um  
  90.00 MeV   1.061E+02  7.155E-02  681.57 um    23.79 um     9.22 um  
 100.00 MeV   1.009E+02  6.521E-02  778.18 um    27.48 um     9.71 um  
 110.00 MeV   9.621E+01  5.996E-02  879.65 um    31.04 um    10.23 um  
 120.00 MeV   9.203E+01  5.552E-02  985.88 um    34.52 um    10.78 um  
 130.00 MeV   8.823E+01  5.173E-02    1.10 mm    37.96 um    11.36 um  
 140.00 MeV   8.475E+01  4.845E-02    1.21 mm    41.37 um    11.97 um  
 150.00 MeV   8.154E+01  4.557E-02    1.33 mm    44.77 um    12.61 um  
 160.00 MeV   7.858E+01  4.304E-02    1.46 mm    48.17 um    13.28 um  
 170.00 MeV   7.581E+01  4.078E-02    1.59 mm    51.58 um    13.97 um  
 180.00 MeV   7.323E+01  3.877E-02    1.72 mm    55.00 um    14.70 um  
 200.00 MeV   6.855E+01  3.530E-02    2.00 mm    68.04 um    16.22 um  
 225.00 MeV   6.343E+01  3.178E-02    2.38 mm    86.73 um    18.28 um  
 250.00 MeV   5.899E+01  2.893E-02    2.79 mm   104.32 um    20.51 um  
 275.00 MeV   5.509E+01  2.657E-02    3.23 mm   121.47 um    22.89 um  
 300.00 MeV   5.166E+01  2.458E-02    3.70 mm   138.48 um    25.44 um  
 325.00 MeV   4.862E+01  2.288E-02    4.20 mm   155.52 um    28.16 um  
 350.00 MeV   4.592E+01  2.141E-02    4.73 mm   172.70 um    31.03 um  
 375.00 MeV   4.352E+01  2.013E-02    5.29 mm   190.07 um    34.06 um  
 400.00 MeV   4.137E+01  1.899E-02    5.87 mm   207.67 um    37.26 um  
 450.00 MeV   3.771E+01  1.708E-02    7.14 mm   274.46 um    44.11 um  
 500.00 MeV   3.476E+01  1.554E-02    8.52 mm   337.13 um    51.56 um  
 550.00 MeV   3.235E+01  1.426E-02   10.01 mm   397.93 um    59.59 um  
 600.00 MeV   3.037E+01  1.319E-02   11.61 mm   457.71 um    68.16 um  
 650.00 MeV   2.873E+01  1.227E-02   13.30 mm   516.83 um    77.21 um  
 700.00 MeV   2.736E+01  1.147E-02   15.08 mm   575.38 um    86.72 um  
 800.00 MeV   2.470E+01  1.017E-02   18.93 mm   792.55 um   107.10 um  
 900.00 MeV   2.248E+01  9.139E-03   23.17 mm   994.91 um   129.39 um  
   1.00 GeV   2.066E+01  8.306E-03   27.81 mm     1.19 mm   153.56 um  
   1.10 GeV   1.915E+01  7.618E-03   32.84 mm     1.39 mm   179.60 um  
   1.20 GeV   1.787E+01  7.039E-03   38.25 mm     1.59 mm   207.45 um  
   1.30 GeV   1.677E+01  6.546E-03   44.03 mm     1.79 mm   237.07 um  
   1.40 GeV   1.582E+01  6.119E-03   50.17 mm     1.99 mm   268.43 um  
   1.50 GeV   1.498E+01  5.747E-03   56.66 mm     2.19 mm   301.48 um  
   1.60 GeV   1.424E+01  5.419E-03   63.51 mm     2.40 mm   336.18 um  
   1.70 GeV   1.359E+01  5.127E-03   70.70 mm     2.60 mm   372.49 um  
   1.80 GeV   1.300E+01  4.867E-03   78.22 mm     2.81 mm   410.38 um  
   2.00 GeV   1.199E+01  4.421E-03   94.24 mm     3.61 mm   490.78 um  
   2.25 GeV   1.096E+01  3.970E-03  116.05 mm     4.76 mm   599.53 um  
   2.50 GeV   1.013E+01  3.606E-03  139.77 mm     5.82 mm   717.00 um  
   2.75 GeV   9.444E+00  3.305E-03  165.33 mm     6.86 mm   842.70 um  
   3.00 GeV   8.865E+00  3.052E-03  192.66 mm     7.87 mm   976.21 um  
   3.25 GeV   8.371E+00  2.836E-03  221.68 mm     8.88 mm     1.12 mm  
   3.50 GeV   7.944E+00  2.650E-03  252.34 mm     9.89 mm     1.27 mm  
   3.75 GeV   7.572E+00  2.487E-03  284.57 mm    10.89 mm     1.42 mm  
   4.00 GeV   7.245E+00  2.344E-03  318.32 mm    11.90 mm     1.58 mm  
   4.50 GeV   6.696E+00  2.104E-03  390.11 mm    15.65 mm     1.92 mm  
   5.00 GeV   6.253E+00  1.910E-03  467.39 mm    19.10 mm     2.28 mm  
   5.50 GeV   5.889E+00  1.750E-03  549.78 mm    22.38 mm     2.66 mm  
   6.00 GeV   5.585E+00  1.615E-03  636.96 mm    25.56 mm     3.06 mm  
   6.50 GeV   5.326E+00  1.500E-03  728.64 mm    28.67 mm     3.48 mm  
   7.00 GeV   5.105E+00  1.401E-03  824.53 mm    31.72 mm     3.91 mm  
   8.00 GeV   4.744E+00  1.239E-03    1.03 m     42.83 mm     4.81 mm  
   9.00 GeV   4.464E+00  1.111E-03    1.25 m     52.73 mm     5.75 mm  
  10.00 GeV   4.241E+00  1.008E-03    1.47 m     61.96 mm     6.73 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  1.3590E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
