 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Calcium in Nitrogen (gas).txt

 Ion = Calcium [20] , Mass = 39.963 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.99999 eV    1.242E-01  1.770E+00      55 A        23 A        17 A   
6.49999 eV    1.293E-01  1.861E+00      56 A        24 A        18 A   
6.99999 eV    1.342E-01  1.948E+00      58 A        25 A        18 A   
7.99999 eV    1.434E-01  2.116E+00      61 A        26 A        19 A   
8.99999 eV    1.522E-01  2.274E+00      64 A        28 A        20 A   
9.99999 eV    1.604E-01  2.425E+00      67 A        29 A        21 A   
10.9999 eV    1.682E-01  2.569E+00      70 A        30 A        22 A   
11.9999 eV    1.757E-01  2.707E+00      72 A        31 A        23 A   
12.9999 eV    1.829E-01  2.840E+00      75 A        32 A        24 A   
13.9999 eV    1.898E-01  2.969E+00      77 A        33 A        25 A   
14.9999 eV    1.964E-01  3.093E+00      79 A        34 A        26 A   
15.9999 eV    2.029E-01  3.214E+00      81 A        35 A        26 A   
16.9999 eV    2.091E-01  3.331E+00      83 A        36 A        27 A   
17.9999 eV    2.152E-01  3.444E+00      85 A        37 A        28 A   
19.9999 eV    2.268E-01  3.663E+00      89 A        39 A        29 A   
22.4999 eV    2.406E-01  3.922E+00      93 A        41 A        30 A   
24.9999 eV    2.536E-01  4.168E+00      98 A        43 A        32 A   
27.4999 eV    2.660E-01  4.401E+00     101 A        45 A        33 A   
29.9999 eV    2.778E-01  4.624E+00     105 A        46 A        34 A   
32.4999 eV    2.891E-01  4.838E+00     109 A        48 A        35 A   
34.9999 eV    3.000E-01  5.044E+00     112 A        50 A        36 A   
37.4999 eV    3.106E-01  5.242E+00     115 A        51 A        38 A   
39.9999 eV    3.208E-01  5.433E+00     118 A        53 A        39 A   
44.9999 eV    3.402E-01  5.798E+00     124 A        55 A        40 A   
49.9999 eV    3.586E-01  6.142E+00     130 A        58 A        42 A   
54.9999 eV    3.761E-01  6.467E+00     135 A        60 A        44 A   
59.9999 eV    3.929E-01  6.777E+00     140 A        62 A        46 A   
64.9999 eV    4.089E-01  7.072E+00     145 A        65 A        47 A   
69.9999 eV    4.243E-01  7.356E+00     150 A        67 A        49 A   
79.9999 eV    4.536E-01  7.889E+00     159 A        71 A        51 A   
89.9999 eV    4.811E-01  8.385E+00     167 A        74 A        54 A   
99.9999 eV    5.072E-01  8.850E+00     175 A        78 A        56 A   
    110 eV    5.319E-01  9.288E+00     183 A        81 A        59 A   
    120 eV    5.556E-01  9.702E+00     190 A        84 A        61 A   
    130 eV    5.783E-01  1.010E+01     197 A        87 A        63 A   
139.999 eV    6.001E-01  1.047E+01     203 A        90 A        65 A   
149.999 eV    6.212E-01  1.083E+01     210 A        92 A        67 A   
159.999 eV    6.415E-01  1.117E+01     216 A        95 A        69 A   
169.999 eV    6.613E-01  1.150E+01     222 A        97 A        70 A   
179.999 eV    6.804E-01  1.182E+01     228 A       100 A        72 A   
199.999 eV    7.172E-01  1.242E+01     240 A       104 A        75 A   
224.999 eV    7.608E-01  1.312E+01     253 A       110 A        79 A   
249.999 eV    8.019E-01  1.377E+01     266 A       115 A        83 A   
274.999 eV    8.410E-01  1.437E+01     279 A       120 A        87 A   
299.999 eV    8.784E-01  1.494E+01     291 A       124 A        90 A   
324.999 eV    9.143E-01  1.547E+01     302 A       129 A        94 A   
349.999 eV    9.488E-01  1.598E+01     314 A       133 A        97 A   
374.999 eV    9.821E-01  1.646E+01     324 A       137 A       100 A   
399.999 eV    1.014E+00  1.691E+01     335 A       141 A       103 A   
449.999 eV    1.076E+00  1.776E+01     356 A       149 A       108 A   
499.999 eV    1.134E+00  1.854E+01     375 A       156 A       114 A   
549.999 eV    1.189E+00  1.926E+01     394 A       163 A       119 A   
599.999 eV    1.242E+00  1.993E+01     412 A       170 A       124 A   
649.999 eV    1.293E+00  2.056E+01     430 A       176 A       129 A   
699.999 eV    1.342E+00  2.115E+01     447 A       182 A       134 A   
799.999 eV    1.434E+00  2.222E+01     481 A       194 A       143 A   
899.999 eV    1.522E+00  2.319E+01     512 A       205 A       151 A   
999.999 eV    1.604E+00  2.407E+01     543 A       215 A       159 A   
   1.10 keV   1.682E+00  2.487E+01     573 A       225 A       167 A   
   1.20 keV   1.757E+00  2.560E+01     602 A       235 A       175 A   
   1.30 keV   1.829E+00  2.628E+01     630 A       244 A       182 A   
   1.40 keV   1.898E+00  2.691E+01     657 A       253 A       189 A   
   1.50 keV   1.964E+00  2.750E+01     684 A       262 A       196 A   
   1.60 keV   2.029E+00  2.806E+01     711 A       271 A       203 A   
   1.70 keV   2.091E+00  2.857E+01     737 A       279 A       210 A   
   1.80 keV   2.152E+00  2.906E+01     762 A       287 A       216 A   
   2.00 keV   2.268E+00  2.996E+01     812 A       303 A       229 A   
   2.25 keV   2.406E+00  3.096E+01     873 A       322 A       244 A   
   2.50 keV   2.536E+00  3.184E+01     932 A       341 A       259 A   
   2.75 keV   2.660E+00  3.263E+01     989 A       358 A       273 A   
   3.00 keV   2.778E+00  3.334E+01    1046 A       376 A       287 A   
   3.25 keV   2.891E+00  3.398E+01    1101 A       392 A       300 A   
   3.50 keV   3.000E+00  3.457E+01    1155 A       409 A       313 A   
   3.75 keV   3.106E+00  3.511E+01    1208 A       425 A       326 A   
   4.00 keV   3.208E+00  3.560E+01    1261 A       440 A       339 A   
   4.50 keV   3.402E+00  3.647E+01    1365 A       471 A       363 A   
   5.00 keV   3.586E+00  3.722E+01    1466 A       500 A       387 A   
   5.50 keV   3.761E+00  3.787E+01    1565 A       529 A       410 A   
   6.00 keV   3.929E+00  3.844E+01    1663 A       557 A       432 A   
   6.50 keV   4.089E+00  3.893E+01    1760 A       585 A       454 A   
   7.00 keV   4.243E+00  3.937E+01    1855 A       612 A       476 A   
   8.00 keV   4.536E+00  4.011E+01    2043 A       665 A       518 A   
   9.00 keV   4.811E+00  4.069E+01    2228 A       716 A       558 A   
  10.00 keV   5.072E+00  4.115E+01    2410 A       766 A       598 A   
  11.00 keV   5.319E+00  4.152E+01    2591 A       815 A       637 A   
  12.00 keV   5.556E+00  4.181E+01    2769 A       863 A       675 A   
  13.00 keV   5.783E+00  4.204E+01    2947 A       911 A       712 A   
  14.00 keV   6.001E+00  4.221E+01    3123 A       958 A       749 A   
  15.00 keV   6.212E+00  4.235E+01    3298 A      1004 A       785 A   
  16.00 keV   6.415E+00  4.244E+01    3473 A      1050 A       821 A   
  17.00 keV   6.613E+00  4.251E+01    3647 A      1095 A       857 A   
  18.00 keV   6.804E+00  4.255E+01    3820 A      1140 A       892 A   
  20.00 keV   7.172E+00  4.256E+01    4165 A      1229 A       961 A   
  22.50 keV   7.608E+00  4.248E+01    4596 A      1338 A      1046 A   
  25.00 keV   8.019E+00  4.232E+01    5025 A      1446 A      1129 A   
  27.50 keV   8.410E+00  4.211E+01    5454 A      1552 A      1211 A   
  30.00 keV   8.784E+00  4.185E+01    5883 A      1657 A      1292 A   
  32.50 keV   9.143E+00  4.157E+01    6313 A      1761 A      1372 A   
  35.00 keV   9.488E+00  4.126E+01    6743 A      1864 A      1452 A   
  37.50 keV   9.821E+00  4.094E+01    7174 A      1966 A      1531 A   
  40.00 keV   1.014E+01  4.061E+01    7605 A      2067 A      1609 A   
  45.00 keV   1.076E+01  3.993E+01    8473 A      2268 A      1765 A   
  50.00 keV   1.134E+01  3.923E+01    9345 A      2467 A      1919 A   
  55.00 keV   1.189E+01  3.854E+01    1.02 um     2663 A      2072 A   
  60.00 keV   1.242E+01  3.786E+01    1.11 um     2856 A      2223 A   
  65.00 keV   1.293E+01  3.720E+01    1.20 um     3048 A      2375 A   
  70.00 keV   1.342E+01  3.655E+01    1.29 um     3237 A      2525 A   
  80.00 keV   1.434E+01  3.531E+01    1.47 um     3613 A      2825 A   
  90.00 keV   1.497E+01  3.415E+01    1.65 um     3982 A      3123 A   
 100.00 keV   1.568E+01  3.307E+01    1.84 um     4346 A      3421 A   
 110.00 keV   1.644E+01  3.205E+01    2.02 um     4704 A      3718 A   
 120.00 keV   1.723E+01  3.111E+01    2.21 um     5055 A      4015 A   
 130.00 keV   1.804E+01  3.023E+01    2.40 um     5398 A      4311 A   
 140.00 keV   1.885E+01  2.940E+01    2.59 um     5734 A      4605 A   
 150.00 keV   1.966E+01  2.862E+01    2.78 um     6062 A      4898 A   
 160.00 keV   2.046E+01  2.789E+01    2.97 um     6382 A      5189 A   
 170.00 keV   2.125E+01  2.720E+01    3.16 um     6695 A      5479 A   
 180.00 keV   2.202E+01  2.655E+01    3.35 um     7001 A      5766 A   
 200.00 keV   2.352E+01  2.536E+01    3.73 um     7598 A      6333 A   
 225.00 keV   2.531E+01  2.403E+01    4.20 um     8309 A      7029 A   
 250.00 keV   2.698E+01  2.286E+01    4.67 um     8980 A      7707 A   
 275.00 keV   2.856E+01  2.181E+01    5.13 um     9614 A      8367 A   
 300.00 keV   3.004E+01  2.087E+01    5.60 um     1.02 um     9009 A   
 325.00 keV   3.143E+01  2.003E+01    6.05 um     1.08 um     9635 A   
 350.00 keV   3.274E+01  1.925E+01    6.51 um     1.13 um     1.02 um  
 375.00 keV   3.399E+01  1.855E+01    6.96 um     1.19 um     1.08 um  
 400.00 keV   3.517E+01  1.790E+01    7.41 um     1.23 um     1.14 um  
 450.00 keV   3.736E+01  1.676E+01    8.29 um     1.33 um     1.25 um  
 500.00 keV   3.938E+01  1.577E+01    9.16 um     1.42 um     1.36 um  
 550.00 keV   4.125E+01  1.491E+01   10.02 um     1.50 um     1.46 um  
 600.00 keV   4.299E+01  1.415E+01   10.86 um     1.58 um     1.55 um  
 650.00 keV   4.464E+01  1.347E+01   11.70 um     1.65 um     1.65 um  
 700.00 keV   4.620E+01  1.287E+01   12.52 um     1.71 um     1.73 um  
 800.00 keV   4.912E+01  1.183E+01   14.12 um     1.84 um     1.90 um  
 900.00 keV   5.185E+01  1.096E+01   15.69 um     1.96 um     2.05 um  
   1.00 MeV   5.444E+01  1.023E+01   17.21 um     2.06 um     2.20 um  
   1.10 MeV   5.692E+01  9.604E+00   18.69 um     2.15 um     2.33 um  
   1.20 MeV   5.934E+01  9.057E+00   20.13 um     2.24 um     2.45 um  
   1.30 MeV   6.170E+01  8.577E+00   21.54 um     2.32 um     2.57 um  
   1.40 MeV   6.404E+01  8.151E+00   22.91 um     2.39 um     2.68 um  
   1.50 MeV   6.636E+01  7.770E+00   24.24 um     2.45 um     2.78 um  
   1.60 MeV   6.866E+01  7.427E+00   25.55 um     2.51 um     2.88 um  
   1.70 MeV   7.097E+01  7.117E+00   26.82 um     2.57 um     2.97 um  
   1.80 MeV   7.329E+01  6.835E+00   28.06 um     2.62 um     3.06 um  
   2.00 MeV   7.794E+01  6.339E+00   30.45 um     2.73 um     3.22 um  
   2.25 MeV   8.385E+01  5.822E+00   33.28 um     2.85 um     3.39 um  
   2.50 MeV   8.987E+01  5.391E+00   35.94 um     2.95 um     3.55 um  
   2.75 MeV   9.599E+01  5.026E+00   38.46 um     3.03 um     3.69 um  
   3.00 MeV   1.022E+02  4.711E+00   40.84 um     3.10 um     3.81 um  
   3.25 MeV   1.085E+02  4.438E+00   43.08 um     3.17 um     3.92 um  
   3.50 MeV   1.149E+02  4.197E+00   45.22 um     3.22 um     4.02 um  
   3.75 MeV   1.213E+02  3.984E+00   47.25 um     3.27 um     4.11 um  
   4.00 MeV   1.277E+02  3.793E+00   49.18 um     3.32 um     4.20 um  
   4.50 MeV   1.404E+02  3.467E+00   52.78 um     3.41 um     4.34 um  
   5.00 MeV   1.529E+02  3.196E+00   56.09 um     3.49 um     4.46 um  
   5.50 MeV   1.651E+02  2.969E+00   59.16 um     3.55 um     4.56 um  
   6.00 MeV   1.768E+02  2.774E+00   62.02 um     3.60 um     4.65 um  
   6.50 MeV   1.880E+02  2.605E+00   64.70 um     3.65 um     4.72 um  
   7.00 MeV   1.985E+02  2.457E+00   67.25 um     3.69 um     4.79 um  
   8.00 MeV   2.176E+02  2.211E+00   71.98 um     3.78 um     4.91 um  
   9.00 MeV   2.341E+02  2.013E+00   76.35 um     3.86 um     5.00 um  
  10.00 MeV   2.481E+02  1.850E+00   80.45 um     3.93 um     5.08 um  
  11.00 MeV   2.600E+02  1.713E+00   84.35 um     3.99 um     5.15 um  
  12.00 MeV   2.699E+02  1.597E+00   88.09 um     4.04 um     5.21 um  
  13.00 MeV   2.784E+02  1.496E+00   91.71 um     4.09 um     5.27 um  
  14.00 MeV   2.855E+02  1.409E+00   95.23 um     4.13 um     5.32 um  
  15.00 MeV   2.916E+02  1.331E+00   98.68 um     4.17 um     5.36 um  
  16.00 MeV   2.968E+02  1.263E+00  102.05 um     4.21 um     5.40 um  
  17.00 MeV   3.012E+02  1.202E+00  105.38 um     4.24 um     5.44 um  
  18.00 MeV   3.051E+02  1.146E+00  108.66 um     4.28 um     5.48 um  
  20.00 MeV   3.113E+02  1.051E+00  115.12 um     4.39 um     5.55 um  
  22.50 MeV   3.170E+02  9.530E-01  123.04 um     4.55 um     5.62 um  
  25.00 MeV   3.209E+02  8.730E-01  130.85 um     4.70 um     5.69 um  
  27.50 MeV   3.235E+02  8.062E-01  138.58 um     4.84 um     5.75 um  
  30.00 MeV   3.251E+02  7.496E-01  146.27 um     4.97 um     5.81 um  
  32.50 MeV   3.258E+02  7.008E-01  153.92 um     5.10 um     5.86 um  
  35.00 MeV   3.259E+02  6.585E-01  161.58 um     5.23 um     5.92 um  
  37.50 MeV   3.253E+02  6.212E-01  169.24 um     5.35 um     5.97 um  
  40.00 MeV   3.243E+02  5.882E-01  176.91 um     5.47 um     6.01 um  
  45.00 MeV   3.213E+02  5.324E-01  192.37 um     5.91 um     6.10 um  
  50.00 MeV   3.173E+02  4.868E-01  208.00 um     6.32 um     6.19 um  
  55.00 MeV   3.126E+02  4.488E-01  223.85 um     6.72 um     6.27 um  
  60.00 MeV   3.076E+02  4.166E-01  239.95 um     7.11 um     6.35 um  
  65.00 MeV   3.024E+02  3.890E-01  256.32 um     7.49 um     6.43 um  
  70.00 MeV   2.971E+02  3.651E-01  272.97 um     7.87 um     6.51 um  
  80.00 MeV   2.867E+02  3.255E-01  307.20 um     9.26 um     6.67 um  
  90.00 MeV   2.803E+02  2.940E-01  342.44 um    10.53 um     6.82 um  
 100.00 MeV   2.716E+02  2.684E-01  378.65 um    11.73 um     6.98 um  
 110.00 MeV   2.643E+02  2.472E-01  415.95 um    12.88 um     7.14 um  
 120.00 MeV   2.574E+02  2.292E-01  454.26 um    13.99 um     7.30 um  
 130.00 MeV   2.509E+02  2.138E-01  493.58 um    15.07 um     7.46 um  
 140.00 MeV   2.447E+02  2.004E-01  533.91 um    16.13 um     7.63 um  
 150.00 MeV   2.390E+02  1.887E-01  575.23 um    17.17 um     7.80 um  
 160.00 MeV   2.335E+02  1.784E-01  617.53 um    18.20 um     7.97 um  
 170.00 MeV   2.283E+02  1.692E-01  660.82 um    19.22 um     8.15 um  
 180.00 MeV   2.233E+02  1.609E-01  705.08 um    20.23 um     8.33 um  
 200.00 MeV   2.140E+02  1.467E-01  796.53 um    24.03 um     8.71 um  
 225.00 MeV   2.034E+02  1.323E-01  916.29 um    29.43 um     9.20 um  
 250.00 MeV   1.938E+02  1.206E-01    1.04 mm    34.43 um     9.72 um  
 275.00 MeV   1.850E+02  1.109E-01    1.17 mm    39.19 um    10.27 um  
 300.00 MeV   1.769E+02  1.027E-01    1.31 mm    43.81 um    10.84 um  
 325.00 MeV   1.695E+02  9.566E-02    1.46 mm    48.36 um    11.44 um  
 350.00 MeV   1.625E+02  8.959E-02    1.61 mm    52.87 um    12.07 um  
 375.00 MeV   1.561E+02  8.428E-02    1.76 mm    57.37 um    12.73 um  
 400.00 MeV   1.501E+02  7.959E-02    1.93 mm    61.87 um    13.41 um  
 450.00 MeV   1.394E+02  7.169E-02    2.27 mm    78.91 um    14.87 um  
 500.00 MeV   1.300E+02  6.528E-02    2.64 mm    94.84 um    16.43 um  
 550.00 MeV   1.219E+02  5.997E-02    3.04 mm   110.28 um    18.11 um  
 600.00 MeV   1.147E+02  5.549E-02    3.46 mm   125.51 um    19.90 um  
 650.00 MeV   1.084E+02  5.166E-02    3.91 mm   140.67 um    21.80 um  
 700.00 MeV   1.029E+02  4.835E-02    4.39 mm   155.85 um    23.80 um  
 800.00 MeV   9.369E+01  4.291E-02    5.40 mm   212.36 um    28.10 um  
 900.00 MeV   8.646E+01  3.861E-02    6.52 mm   264.30 um    32.79 um  
   1.00 GeV   8.072E+01  3.513E-02    7.71 mm   313.99 um    37.82 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  7.7379E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
