 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in Nitrogen (gas)6-2.txt

 Ion = Neon [10] , Mass = 19.992 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.49999 eV    9.862E-02  1.540E+00      44 A        26 A        19 A   
5.99999 eV    1.030E-01  1.620E+00      46 A        27 A        20 A   
6.49999 eV    1.072E-01  1.697E+00      47 A        28 A        21 A   
6.99999 eV    1.113E-01  1.771E+00      49 A        29 A        22 A   
7.99999 eV    1.189E-01  1.912E+00      51 A        31 A        23 A   
8.99999 eV    1.262E-01  2.044E+00      54 A        33 A        24 A   
9.99999 eV    1.330E-01  2.169E+00      57 A        35 A        25 A   
10.9999 eV    1.395E-01  2.288E+00      59 A        36 A        26 A   
11.9999 eV    1.457E-01  2.401E+00      61 A        37 A        27 A   
12.9999 eV    1.516E-01  2.509E+00      63 A        39 A        28 A   
13.9999 eV    1.573E-01  2.613E+00      65 A        40 A        29 A   
14.9999 eV    1.629E-01  2.713E+00      67 A        41 A        30 A   
15.9999 eV    1.682E-01  2.809E+00      69 A        43 A        31 A   
16.9999 eV    1.734E-01  2.902E+00      71 A        44 A        32 A   
17.9999 eV    1.784E-01  2.992E+00      73 A        45 A        33 A   
19.9999 eV    1.881E-01  3.164E+00      76 A        47 A        34 A   
22.4999 eV    1.995E-01  3.366E+00      80 A        50 A        36 A   
24.9999 eV    2.103E-01  3.556E+00      84 A        52 A        38 A   
27.4999 eV    2.205E-01  3.734E+00      88 A        54 A        39 A   
29.9999 eV    2.303E-01  3.904E+00      92 A        56 A        41 A   
32.4999 eV    2.397E-01  4.065E+00      95 A        58 A        42 A   
34.9999 eV    2.488E-01  4.218E+00      98 A        60 A        43 A   
37.4999 eV    2.575E-01  4.365E+00     101 A        62 A        45 A   
39.9999 eV    2.660E-01  4.506E+00     104 A        64 A        46 A   
44.9999 eV    2.821E-01  4.772E+00     110 A        67 A        48 A   
49.9999 eV    2.974E-01  5.020E+00     116 A        71 A        51 A   
54.9999 eV    3.119E-01  5.253E+00     121 A        74 A        53 A   
59.9999 eV    3.257E-01  5.471E+00     127 A        77 A        55 A   
64.9999 eV    3.390E-01  5.678E+00     132 A        80 A        57 A   
69.9999 eV    3.518E-01  5.874E+00     137 A        82 A        59 A   
79.9999 eV    3.761E-01  6.239E+00     146 A        87 A        63 A   
89.9999 eV    3.990E-01  6.573E+00     155 A        92 A        66 A   
99.9999 eV    4.205E-01  6.881E+00     163 A        97 A        69 A   
    110 eV    4.411E-01  7.167E+00     171 A       101 A        73 A   
    120 eV    4.607E-01  7.435E+00     179 A       105 A        76 A   
    130 eV    4.795E-01  7.686E+00     187 A       109 A        78 A   
139.999 eV    4.976E-01  7.923E+00     195 A       113 A        81 A   
149.999 eV    5.150E-01  8.147E+00     202 A       117 A        84 A   
159.999 eV    5.319E-01  8.359E+00     209 A       121 A        87 A   
169.999 eV    5.483E-01  8.561E+00     216 A       124 A        89 A   
179.999 eV    5.642E-01  8.753E+00     223 A       127 A        92 A   
199.999 eV    5.947E-01  9.113E+00     236 A       134 A        97 A   
224.999 eV    6.308E-01  9.523E+00     252 A       142 A       102 A   
249.999 eV    6.649E-01  9.895E+00     267 A       149 A       108 A   
274.999 eV    6.974E-01  1.024E+01     282 A       157 A       113 A   
299.999 eV    7.284E-01  1.055E+01     297 A       164 A       118 A   
324.999 eV    7.581E-01  1.084E+01     311 A       170 A       123 A   
349.999 eV    7.867E-01  1.111E+01     325 A       177 A       128 A   
374.999 eV    8.144E-01  1.137E+01     338 A       183 A       133 A   
399.999 eV    8.411E-01  1.161E+01     352 A       190 A       138 A   
449.999 eV    8.921E-01  1.204E+01     378 A       201 A       147 A   
499.999 eV    9.403E-01  1.243E+01     403 A       213 A       155 A   
549.999 eV    9.862E-01  1.278E+01     427 A       224 A       164 A   
599.999 eV    1.030E+00  1.310E+01     451 A       235 A       172 A   
649.999 eV    1.072E+00  1.340E+01     475 A       245 A       180 A   
699.999 eV    1.113E+00  1.367E+01     498 A       256 A       187 A   
799.999 eV    1.189E+00  1.415E+01     543 A       276 A       202 A   
899.999 eV    1.262E+00  1.456E+01     587 A       295 A       216 A   
999.999 eV    1.330E+00  1.492E+01     630 A       313 A       230 A   
   1.10 keV   1.395E+00  1.524E+01     673 A       331 A       244 A   
   1.20 keV   1.457E+00  1.553E+01     714 A       349 A       257 A   
   1.30 keV   1.516E+00  1.578E+01     755 A       366 A       269 A   
   1.40 keV   1.573E+00  1.601E+01     795 A       383 A       282 A   
   1.50 keV   1.629E+00  1.622E+01     835 A       399 A       294 A   
   1.60 keV   1.682E+00  1.641E+01     874 A       416 A       306 A   
   1.70 keV   1.734E+00  1.658E+01     914 A       432 A       318 A   
   1.80 keV   1.784E+00  1.674E+01     952 A       447 A       330 A   
   2.00 keV   1.881E+00  1.701E+01    1029 A       479 A       353 A   
   2.25 keV   1.995E+00  1.730E+01    1123 A       517 A       381 A   
   2.50 keV   2.103E+00  1.753E+01    1216 A       554 A       408 A   
   2.75 keV   2.205E+00  1.772E+01    1309 A       590 A       434 A   
   3.00 keV   2.303E+00  1.787E+01    1400 A       626 A       460 A   
   3.25 keV   2.397E+00  1.800E+01    1491 A       661 A       486 A   
   3.50 keV   2.488E+00  1.811E+01    1581 A       696 A       511 A   
   3.75 keV   2.575E+00  1.819E+01    1671 A       731 A       536 A   
   4.00 keV   2.660E+00  1.826E+01    1760 A       765 A       560 A   
   4.50 keV   2.821E+00  1.835E+01    1938 A       832 A       609 A   
   5.00 keV   2.974E+00  1.840E+01    2116 A       899 A       656 A   
   5.50 keV   3.119E+00  1.842E+01    2292 A       964 A       703 A   
   6.00 keV   3.257E+00  1.841E+01    2469 A      1029 A       748 A   
   6.50 keV   3.390E+00  1.838E+01    2645 A      1093 A       794 A   
   7.00 keV   3.518E+00  1.834E+01    2822 A      1157 A       838 A   
   8.00 keV   3.761E+00  1.822E+01    3175 A      1283 A       927 A   
   9.00 keV   3.990E+00  1.806E+01    3529 A      1407 A      1014 A   
  10.00 keV   4.205E+00  1.788E+01    3885 A      1530 A      1100 A   
  11.00 keV   4.411E+00  1.769E+01    4243 A      1652 A      1185 A   
  12.00 keV   4.607E+00  1.749E+01    4602 A      1773 A      1269 A   
  13.00 keV   4.795E+00  1.728E+01    4963 A      1893 A      1353 A   
  14.00 keV   4.976E+00  1.707E+01    5326 A      2012 A      1437 A   
  15.00 keV   5.150E+00  1.686E+01    5692 A      2130 A      1520 A   
  16.00 keV   5.319E+00  1.666E+01    6059 A      2247 A      1603 A   
  17.00 keV   5.483E+00  1.645E+01    6428 A      2363 A      1685 A   
  18.00 keV   5.642E+00  1.625E+01    6799 A      2479 A      1768 A   
  20.00 keV   5.947E+00  1.586E+01    7547 A      2709 A      1933 A   
  22.50 keV   6.308E+00  1.539E+01    8493 A      2992 A      2139 A   
  25.00 keV   6.649E+00  1.495E+01    9448 A      3271 A      2344 A   
  27.50 keV   6.974E+00  1.453E+01    1.04 um     3546 A      2550 A   
  30.00 keV   7.284E+00  1.414E+01    1.14 um     3816 A      2755 A   
  32.50 keV   7.581E+00  1.377E+01    1.24 um     4083 A      2960 A   
  35.00 keV   7.867E+00  1.342E+01    1.34 um     4346 A      3165 A   
  37.50 keV   8.144E+00  1.309E+01    1.44 um     4605 A      3371 A   
  40.00 keV   8.414E+00  1.278E+01    1.54 um     4860 A      3576 A   
  45.00 keV   9.709E+00  1.220E+01    1.73 um     5344 A      3986 A   
  50.00 keV   1.067E+01  1.169E+01    1.93 um     5791 A      4391 A   
  55.00 keV   1.141E+01  1.122E+01    2.12 um     6214 A      4786 A   
  60.00 keV   1.200E+01  1.079E+01    2.31 um     6620 A      5172 A   
  65.00 keV   1.250E+01  1.040E+01    2.50 um     7012 A      5548 A   
  70.00 keV   1.293E+01  1.004E+01    2.69 um     7392 A      5917 A   
  80.00 keV   1.366E+01  9.409E+00    3.08 um     8128 A      6636 A   
  90.00 keV   1.429E+01  8.861E+00    3.46 um     8829 A      7332 A   
 100.00 keV   1.487E+01  8.384E+00    3.85 um     9497 A      8009 A   
 110.00 keV   1.542E+01  7.963E+00    4.24 um     1.01 um     8669 A   
 120.00 keV   1.597E+01  7.589E+00    4.62 um     1.07 um     9313 A   
 130.00 keV   1.650E+01  7.253E+00    5.01 um     1.13 um     9942 A   
 140.00 keV   1.703E+01  6.951E+00    5.39 um     1.19 um     1.06 um  
 150.00 keV   1.757E+01  6.676E+00    5.77 um     1.24 um     1.12 um  
 160.00 keV   1.810E+01  6.426E+00    6.15 um     1.29 um     1.17 um  
 170.00 keV   1.863E+01  6.196E+00    6.52 um     1.34 um     1.23 um  
 180.00 keV   1.916E+01  5.985E+00    6.89 um     1.39 um     1.29 um  
 200.00 keV   2.022E+01  5.608E+00    7.62 um     1.48 um     1.39 um  
 225.00 keV   2.153E+01  5.208E+00    8.51 um     1.58 um     1.52 um  
 250.00 keV   2.280E+01  4.868E+00    9.37 um     1.67 um     1.63 um  
 275.00 keV   2.405E+01  4.575E+00   10.21 um     1.75 um     1.74 um  
 300.00 keV   2.524E+01  4.320E+00   11.02 um     1.82 um     1.85 um  
 325.00 keV   2.640E+01  4.095E+00   11.81 um     1.89 um     1.94 um  
 350.00 keV   2.750E+01  3.895E+00   12.58 um     1.95 um     2.03 um  
 375.00 keV   2.857E+01  3.716E+00   13.33 um     2.01 um     2.12 um  
 400.00 keV   2.959E+01  3.555E+00   14.06 um     2.06 um     2.20 um  
 450.00 keV   3.151E+01  3.276E+00   15.47 um     2.16 um     2.34 um  
 500.00 keV   3.329E+01  3.042E+00   16.83 um     2.25 um     2.48 um  
 550.00 keV   3.495E+01  2.843E+00   18.13 um     2.32 um     2.60 um  
 600.00 keV   3.652E+01  2.671E+00   19.39 um     2.39 um     2.71 um  
 650.00 keV   3.801E+01  2.520E+00   20.61 um     2.45 um     2.82 um  
 700.00 keV   3.943E+01  2.388E+00   21.79 um     2.51 um     2.91 um  
 800.00 keV   4.214E+01  2.164E+00   24.06 um     2.62 um     3.08 um  
 900.00 keV   4.473E+01  1.983E+00   26.21 um     2.71 um     3.23 um  
   1.00 MeV   4.726E+01  1.832E+00   28.26 um     2.79 um     3.37 um  
   1.10 MeV   4.975E+01  1.705E+00   30.21 um     2.85 um     3.49 um  
   1.20 MeV   5.222E+01  1.595E+00   32.08 um     2.92 um     3.60 um  
   1.30 MeV   5.470E+01  1.501E+00   33.88 um     2.97 um     3.69 um  
   1.40 MeV   5.718E+01  1.417E+00   35.59 um     3.02 um     3.78 um  
   1.50 MeV   5.967E+01  1.344E+00   37.25 um     3.06 um     3.86 um  
   1.60 MeV   6.217E+01  1.278E+00   38.84 um     3.10 um     3.94 um  
   1.70 MeV   6.467E+01  1.219E+00   40.36 um     3.13 um     4.01 um  
   1.80 MeV   6.718E+01  1.166E+00   41.84 um     3.17 um     4.07 um  
   2.00 MeV   7.216E+01  1.073E+00   44.64 um     3.23 um     4.18 um  
   2.25 MeV   7.832E+01  9.777E-01   47.89 um     3.31 um     4.31 um  
   2.50 MeV   8.432E+01  8.990E-01   50.91 um     3.37 um     4.41 um  
   2.75 MeV   9.008E+01  8.331E-01   53.73 um     3.42 um     4.50 um  
   3.00 MeV   9.557E+01  7.768E-01   56.38 um     3.47 um     4.57 um  
   3.25 MeV   1.007E+02  7.282E-01   58.90 um     3.51 um     4.64 um  
   3.50 MeV   1.056E+02  6.859E-01   61.29 um     3.54 um     4.70 um  
   3.75 MeV   1.100E+02  6.485E-01   63.59 um     3.58 um     4.76 um  
   4.00 MeV   1.141E+02  6.153E-01   65.80 um     3.60 um     4.81 um  
   4.50 MeV   1.213E+02  5.588E-01   70.01 um     3.68 um     4.90 um  
   5.00 MeV   1.272E+02  5.125E-01   74.00 um     3.74 um     4.97 um  
   5.50 MeV   1.319E+02  4.738E-01   77.84 um     3.80 um     5.04 um  
   6.00 MeV   1.356E+02  4.409E-01   81.55 um     3.85 um     5.09 um  
   6.50 MeV   1.386E+02  4.126E-01   85.18 um     3.90 um     5.15 um  
   7.00 MeV   1.409E+02  3.879E-01   88.74 um     3.94 um     5.20 um  
   8.00 MeV   1.441E+02  3.470E-01   95.73 um     4.09 um     5.28 um  
   9.00 MeV   1.459E+02  3.144E-01  102.60 um     4.22 um     5.36 um  
  10.00 MeV   1.467E+02  2.877E-01  109.41 um     4.35 um     5.43 um  
  11.00 MeV   1.469E+02  2.655E-01  116.20 um     4.47 um     5.50 um  
  12.00 MeV   1.467E+02  2.466E-01  122.99 um     4.59 um     5.56 um  
  13.00 MeV   1.461E+02  2.305E-01  129.81 um     4.70 um     5.62 um  
  14.00 MeV   1.452E+02  2.164E-01  136.66 um     4.81 um     5.68 um  
  15.00 MeV   1.441E+02  2.041E-01  143.56 um     4.92 um     5.73 um  
  16.00 MeV   1.429E+02  1.931E-01  150.51 um     5.03 um     5.78 um  
  17.00 MeV   1.416E+02  1.834E-01  157.53 um     5.14 um     5.83 um  
  18.00 MeV   1.401E+02  1.746E-01  164.62 um     5.25 um     5.88 um  
  20.00 MeV   1.371E+02  1.595E-01  179.02 um     5.65 um     5.98 um  
  22.50 MeV   1.331E+02  1.442E-01  197.50 um     6.25 um     6.10 um  
  25.00 MeV   1.291E+02  1.317E-01  216.54 um     6.83 um     6.22 um  
  27.50 MeV   1.252E+02  1.213E-01  236.18 um     7.39 um     6.34 um  
  30.00 MeV   1.214E+02  1.125E-01  256.45 um     7.95 um     6.46 um  
  32.50 MeV   1.177E+02  1.049E-01  277.34 um     8.50 um     6.58 um  
  35.00 MeV   1.142E+02  9.839E-02  298.89 um     9.05 um     6.70 um  
  37.50 MeV   1.109E+02  9.266E-02  321.08 um     9.60 um     6.83 um  
  40.00 MeV   1.078E+02  8.760E-02  343.93 um    10.15 um     6.96 um  
  45.00 MeV   1.034E+02  7.904E-02  391.26 um    12.19 um     7.22 um  
  50.00 MeV   9.855E+01  7.209E-02  440.76 um    14.09 um     7.50 um  
  55.00 MeV   9.449E+01  6.632E-02  492.54 um    15.91 um     7.80 um  
  60.00 MeV   9.083E+01  6.144E-02  546.48 um    17.68 um     8.10 um  
  65.00 MeV   8.751E+01  5.727E-02  602.52 um    19.41 um     8.42 um  
  70.00 MeV   8.448E+01  5.366E-02  660.64 um    21.11 um     8.75 um  
  80.00 MeV   7.910E+01  4.770E-02  782.93 um    27.34 um     9.46 um  
  90.00 MeV   7.446E+01  4.299E-02  913.19 um    33.02 um    10.21 um  
 100.00 MeV   7.038E+01  3.917E-02    1.05 mm    38.42 um    11.02 um  
 110.00 MeV   6.674E+01  3.599E-02    1.20 mm    43.66 um    11.87 um  
 120.00 MeV   6.346E+01  3.332E-02    1.35 mm    48.82 um    12.78 um  
 130.00 MeV   6.047E+01  3.103E-02    1.51 mm    53.95 um    13.73 um  
 140.00 MeV   5.773E+01  2.906E-02    1.68 mm    59.08 um    14.73 um  
 150.00 MeV   5.521E+01  2.733E-02    1.86 mm    64.23 um    15.78 um  
 160.00 MeV   5.287E+01  2.580E-02    2.04 mm    69.42 um    16.87 um  
 170.00 MeV   5.070E+01  2.444E-02    2.24 mm    74.66 um    18.01 um  
 180.00 MeV   4.867E+01  2.323E-02    2.44 mm    79.97 um    19.20 um  
 200.00 MeV   4.502E+01  2.114E-02    2.87 mm   100.36 um    21.72 um  
 225.00 MeV   4.106E+01  1.903E-02    3.45 mm   129.91 um    25.14 um  
 250.00 MeV   3.767E+01  1.731E-02    4.08 mm   158.15 um    28.88 um  
 275.00 MeV   3.475E+01  1.589E-02    4.77 mm   186.08 um    32.93 um  
 300.00 MeV   3.223E+01  1.470E-02    5.52 mm   214.16 um    37.31 um  
 325.00 MeV   3.005E+01  1.368E-02    6.32 mm   242.63 um    42.02 um  
 350.00 MeV   2.815E+01  1.280E-02    7.18 mm   271.60 um    47.05 um  
 375.00 MeV   2.651E+01  1.203E-02    8.10 mm   301.08 um    52.41 um  
 400.00 MeV   2.508E+01  1.135E-02    9.07 mm   331.08 um    58.09 um  
 450.00 MeV   2.276E+01  1.020E-02   11.16 mm   444.60 um    70.38 um  
 500.00 MeV   2.103E+01  9.278E-03   13.45 mm   550.15 um    83.80 um  
 550.00 MeV   1.976E+01  8.512E-03   15.90 mm   650.89 um    98.19 um  
 600.00 MeV   1.884E+01  7.867E-03   18.49 mm   747.48 um   113.36 um  
 650.00 MeV   1.766E+01  7.317E-03   21.23 mm   842.59 um   129.32 um  
 700.00 MeV   1.663E+01  6.842E-03   24.15 mm   938.77 um   146.18 um  
 800.00 MeV   1.494E+01  6.062E-03   30.49 mm     1.30 mm   182.62 um  
 900.00 MeV   1.359E+01  5.447E-03   37.51 mm     1.64 mm   222.60 um  
   1.00 GeV   1.249E+01  4.949E-03   45.19 mm     1.97 mm   266.02 um  
   1.10 GeV   1.158E+01  4.538E-03   53.51 mm     2.29 mm   312.81 um  
   1.20 GeV   1.081E+01  4.192E-03   62.45 mm     2.62 mm   362.85 um  
   1.30 GeV   1.015E+01  3.897E-03   72.00 mm     2.95 mm   416.07 um  
   1.40 GeV   9.574E+00  3.643E-03   82.15 mm     3.28 mm   472.37 um  
   1.50 GeV   9.074E+00  3.420E-03   92.87 mm     3.62 mm   531.66 um  
   1.60 GeV   8.633E+00  3.225E-03  104.17 mm     3.96 mm   593.87 um  
   1.70 GeV   8.241E+00  3.051E-03  116.03 mm     4.30 mm   658.92 um  
   1.80 GeV   7.889E+00  2.896E-03  128.43 mm     4.64 mm   726.73 um  
   2.00 GeV   7.287E+00  2.630E-03  154.81 mm     5.96 mm   870.41 um  
   2.25 GeV   6.677E+00  2.361E-03  190.65 mm     7.83 mm     1.06 mm  
   2.50 GeV   6.183E+00  2.144E-03  229.56 mm     9.58 mm     1.27 mm  
   2.75 GeV   5.775E+00  1.964E-03  271.41 mm    11.26 mm     1.50 mm  
   3.00 GeV   5.432E+00  1.813E-03  316.04 mm    12.92 mm     1.73 mm  
   3.25 GeV   5.140E+00  1.685E-03  363.36 mm    14.56 mm     1.98 mm  
   3.50 GeV   4.888E+00  1.574E-03  413.24 mm    16.18 mm     2.24 mm  
   3.75 GeV   4.668E+00  1.477E-03  465.57 mm    17.80 mm     2.51 mm  
   4.00 GeV   4.476E+00  1.392E-03  520.26 mm    19.42 mm     2.79 mm  
   4.50 GeV   4.153E+00  1.249E-03  636.25 mm    25.43 mm     3.38 mm  
   5.00 GeV   3.893E+00  1.134E-03  760.62 mm    30.94 mm     4.01 mm  
   5.50 GeV   3.680E+00  1.038E-03  892.72 mm    36.16 mm     4.67 mm  
   6.00 GeV   3.502E+00  9.583E-04    1.03 m     41.19 mm     5.35 mm  
   6.50 GeV   3.352E+00  8.901E-04    1.18 m     46.09 mm     6.06 mm  
   7.00 GeV   3.223E+00  8.313E-04    1.33 m     50.88 mm     6.79 mm  
   8.00 GeV   3.014E+00  7.348E-04    1.65 m     68.21 mm     8.30 mm  
   9.00 GeV   2.853E+00  6.590E-04    1.99 m     83.57 mm     9.88 mm  
  10.00 GeV   2.726E+00  5.978E-04    2.35 m     97.78 mm    11.50 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  1.6908E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
