 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in Nitrogen (gas).txt

 Ion = Chromium [24] , Mass = 51.94 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.99999 eV    1.113E-01  1.709E+00      61 A        23 A        17 A   
6.49999 eV    1.159E-01  1.798E+00      63 A        24 A        17 A   
6.99999 eV    1.202E-01  1.884E+00      65 A        24 A        18 A   
7.99999 eV    1.285E-01  2.049E+00      69 A        26 A        19 A   
8.99999 eV    1.363E-01  2.206E+00      72 A        27 A        20 A   
9.99999 eV    1.437E-01  2.355E+00      75 A        28 A        21 A   
10.9999 eV    1.507E-01  2.498E+00      78 A        30 A        22 A   
11.9999 eV    1.574E-01  2.636E+00      81 A        31 A        23 A   
12.9999 eV    1.639E-01  2.768E+00      84 A        32 A        24 A   
13.9999 eV    1.700E-01  2.896E+00      86 A        33 A        24 A   
14.9999 eV    1.760E-01  3.021E+00      88 A        34 A        25 A   
15.9999 eV    1.818E-01  3.141E+00      91 A        35 A        26 A   
16.9999 eV    1.874E-01  3.258E+00      93 A        36 A        27 A   
17.9999 eV    1.928E-01  3.372E+00      95 A        37 A        27 A   
19.9999 eV    2.032E-01  3.592E+00      99 A        38 A        28 A   
22.4999 eV    2.156E-01  3.853E+00     104 A        40 A        30 A   
24.9999 eV    2.272E-01  4.101E+00     108 A        42 A        31 A   
27.4999 eV    2.383E-01  4.337E+00     113 A        44 A        32 A   
29.9999 eV    2.489E-01  4.563E+00     117 A        46 A        34 A   
32.4999 eV    2.591E-01  4.781E+00     121 A        47 A        35 A   
34.9999 eV    2.689E-01  4.990E+00     124 A        49 A        36 A   
37.4999 eV    2.783E-01  5.192E+00     128 A        50 A        37 A   
39.9999 eV    2.874E-01  5.388E+00     131 A        51 A        38 A   
44.9999 eV    3.049E-01  5.761E+00     138 A        54 A        40 A   
49.9999 eV    3.214E-01  6.114E+00     144 A        56 A        41 A   
54.9999 eV    3.370E-01  6.449E+00     149 A        59 A        43 A   
59.9999 eV    3.520E-01  6.769E+00     155 A        61 A        45 A   
64.9999 eV    3.664E-01  7.075E+00     160 A        63 A        46 A   
69.9999 eV    3.802E-01  7.369E+00     165 A        65 A        47 A   
79.9999 eV    4.065E-01  7.924E+00     174 A        69 A        50 A   
89.9999 eV    4.311E-01  8.443E+00     183 A        72 A        53 A   
99.9999 eV    4.545E-01  8.930E+00     192 A        75 A        55 A   
    110 eV    4.766E-01  9.391E+00     199 A        79 A        57 A   
    120 eV    4.978E-01  9.829E+00     207 A        81 A        59 A   
    130 eV    5.182E-01  1.025E+01     214 A        84 A        61 A   
139.999 eV    5.377E-01  1.064E+01     221 A        87 A        63 A   
149.999 eV    5.566E-01  1.103E+01     228 A        89 A        65 A   
159.999 eV    5.749E-01  1.139E+01     235 A        92 A        66 A   
169.999 eV    5.926E-01  1.175E+01     241 A        94 A        68 A   
179.999 eV    6.097E-01  1.209E+01     247 A        97 A        70 A   
199.999 eV    6.427E-01  1.274E+01     259 A       101 A        73 A   
224.999 eV    6.817E-01  1.349E+01     273 A       106 A        77 A   
249.999 eV    7.186E-01  1.420E+01     286 A       111 A        80 A   
274.999 eV    7.536E-01  1.486E+01     299 A       116 A        83 A   
299.999 eV    7.872E-01  1.548E+01     311 A       120 A        87 A   
324.999 eV    8.193E-01  1.607E+01     323 A       124 A        90 A   
349.999 eV    8.502E-01  1.662E+01     334 A       128 A        93 A   
374.999 eV    8.801E-01  1.716E+01     346 A       132 A        95 A   
399.999 eV    9.089E-01  1.766E+01     356 A       136 A        98 A   
449.999 eV    9.641E-01  1.861E+01     377 A       143 A       103 A   
499.999 eV    1.016E+00  1.949E+01     397 A       149 A       108 A   
549.999 eV    1.066E+00  2.031E+01     415 A       156 A       113 A   
599.999 eV    1.113E+00  2.107E+01     434 A       162 A       118 A   
649.999 eV    1.159E+00  2.179E+01     451 A       168 A       122 A   
699.999 eV    1.202E+00  2.246E+01     468 A       173 A       126 A   
799.999 eV    1.285E+00  2.371E+01     501 A       184 A       135 A   
899.999 eV    1.363E+00  2.484E+01     533 A       194 A       142 A   
999.999 eV    1.437E+00  2.587E+01     563 A       203 A       150 A   
   1.10 keV   1.507E+00  2.682E+01     592 A       212 A       157 A   
   1.20 keV   1.574E+00  2.769E+01     620 A       221 A       163 A   
   1.30 keV   1.639E+00  2.851E+01     647 A       229 A       170 A   
   1.40 keV   1.700E+00  2.927E+01     673 A       237 A       176 A   
   1.50 keV   1.760E+00  2.999E+01     699 A       245 A       182 A   
   1.60 keV   1.818E+00  3.066E+01     725 A       252 A       188 A   
   1.70 keV   1.874E+00  3.130E+01     750 A       260 A       194 A   
   1.80 keV   1.928E+00  3.190E+01     774 A       267 A       200 A   
   2.00 keV   2.032E+00  3.302E+01     822 A       281 A       211 A   
   2.25 keV   2.156E+00  3.427E+01     879 A       297 A       225 A   
   2.50 keV   2.272E+00  3.540E+01     935 A       313 A       237 A   
   2.75 keV   2.383E+00  3.641E+01     989 A       328 A       250 A   
   3.00 keV   2.489E+00  3.734E+01    1041 A       343 A       262 A   
   3.25 keV   2.591E+00  3.818E+01    1093 A       357 A       273 A   
   3.50 keV   2.689E+00  3.896E+01    1143 A       371 A       285 A   
   3.75 keV   2.783E+00  3.968E+01    1193 A       385 A       296 A   
   4.00 keV   2.874E+00  4.035E+01    1242 A       398 A       307 A   
   4.50 keV   3.049E+00  4.155E+01    1337 A       423 A       328 A   
   5.00 keV   3.214E+00  4.260E+01    1430 A       448 A       348 A   
   5.50 keV   3.370E+00  4.353E+01    1521 A       472 A       368 A   
   6.00 keV   3.520E+00  4.436E+01    1610 A       495 A       387 A   
   6.50 keV   3.664E+00  4.511E+01    1698 A       518 A       405 A   
   7.00 keV   3.802E+00  4.578E+01    1784 A       540 A       424 A   
   8.00 keV   4.065E+00  4.694E+01    1953 A       583 A       459 A   
   9.00 keV   4.311E+00  4.790E+01    2119 A       625 A       494 A   
  10.00 keV   4.545E+00  4.871E+01    2281 A       665 A       527 A   
  11.00 keV   4.766E+00  4.940E+01    2441 A       705 A       560 A   
  12.00 keV   4.978E+00  4.999E+01    2598 A       743 A       591 A   
  13.00 keV   5.182E+00  5.049E+01    2754 A       781 A       622 A   
  14.00 keV   5.377E+00  5.092E+01    2909 A       818 A       653 A   
  15.00 keV   5.566E+00  5.129E+01    3062 A       855 A       683 A   
  16.00 keV   5.749E+00  5.160E+01    3214 A       891 A       713 A   
  17.00 keV   5.926E+00  5.188E+01    3365 A       927 A       742 A   
  18.00 keV   6.097E+00  5.211E+01    3515 A       962 A       771 A   
  20.00 keV   6.427E+00  5.247E+01    3813 A      1032 A       828 A   
  22.50 keV   6.817E+00  5.278E+01    4182 A      1118 A       897 A   
  25.00 keV   7.186E+00  5.296E+01    4548 A      1202 A       965 A   
  27.50 keV   7.536E+00  5.304E+01    4913 A      1284 A      1032 A   
  30.00 keV   7.872E+00  5.305E+01    5275 A      1366 A      1098 A   
  32.50 keV   8.193E+00  5.300E+01    5637 A      1446 A      1163 A   
  35.00 keV   8.502E+00  5.290E+01    5999 A      1526 A      1228 A   
  37.50 keV   8.801E+00  5.276E+01    6360 A      1605 A      1291 A   
  40.00 keV   9.089E+00  5.259E+01    6720 A      1683 A      1354 A   
  45.00 keV   9.641E+00  5.217E+01    7442 A      1838 A      1479 A   
  50.00 keV   1.016E+01  5.170E+01    8165 A      1992 A      1602 A   
  55.00 keV   1.066E+01  5.117E+01    8890 A      2143 A      1724 A   
  60.00 keV   1.113E+01  5.063E+01    9617 A      2293 A      1844 A   
  65.00 keV   1.159E+01  5.006E+01    1.03 um     2442 A      1964 A   
  70.00 keV   1.202E+01  4.949E+01    1.11 um     2589 A      2083 A   
  80.00 keV   1.285E+01  4.834E+01    1.26 um     2882 A      2320 A   
  90.00 keV   1.363E+01  4.720E+01    1.40 um     3171 A      2555 A   
 100.00 keV   1.437E+01  4.610E+01    1.55 um     3456 A      2788 A   
 110.00 keV   1.489E+01  4.504E+01    1.71 um     3738 A      3021 A   
 120.00 keV   1.536E+01  4.402E+01    1.86 um     4018 A      3254 A   
 130.00 keV   1.589E+01  4.305E+01    2.02 um     4296 A      3486 A   
 140.00 keV   1.646E+01  4.212E+01    2.17 um     4571 A      3718 A   
 150.00 keV   1.705E+01  4.123E+01    2.33 um     4843 A      3951 A   
 160.00 keV   1.766E+01  4.038E+01    2.49 um     5112 A      4183 A   
 170.00 keV   1.828E+01  3.957E+01    2.65 um     5378 A      4415 A   
 180.00 keV   1.889E+01  3.879E+01    2.81 um     5641 A      4646 A   
 200.00 keV   2.009E+01  3.734E+01    3.13 um     6162 A      5109 A   
 225.00 keV   2.152E+01  3.569E+01    3.54 um     6798 A      5684 A   
 250.00 keV   2.287E+01  3.420E+01    3.94 um     7413 A      6255 A   
 275.00 keV   2.413E+01  3.285E+01    4.35 um     8008 A      6822 A   
 300.00 keV   2.529E+01  3.162E+01    4.77 um     8584 A      7382 A   
 325.00 keV   2.637E+01  3.050E+01    5.18 um     9143 A      7938 A   
 350.00 keV   2.737E+01  2.946E+01    5.59 um     9686 A      8487 A   
 375.00 keV   2.831E+01  2.851E+01    6.01 um     1.02 um     9031 A   
 400.00 keV   2.919E+01  2.762E+01    6.42 um     1.07 um     9569 A   
 450.00 keV   3.079E+01  2.603E+01    7.26 um     1.17 um     1.06 um  
 500.00 keV   3.224E+01  2.464E+01    8.09 um     1.27 um     1.17 um  
 550.00 keV   3.357E+01  2.342E+01    8.93 um     1.36 um     1.27 um  
 600.00 keV   3.482E+01  2.233E+01    9.76 um     1.45 um     1.37 um  
 650.00 keV   3.601E+01  2.135E+01   10.60 um     1.54 um     1.47 um  
 700.00 keV   3.717E+01  2.047E+01   11.43 um     1.62 um     1.56 um  
 800.00 keV   3.940E+01  1.893E+01   13.08 um     1.78 um     1.75 um  
 900.00 keV   4.159E+01  1.764E+01   14.72 um     1.92 um     1.92 um  
   1.00 MeV   4.377E+01  1.654E+01   16.34 um     2.06 um     2.09 um  
   1.10 MeV   4.595E+01  1.559E+01   17.92 um     2.18 um     2.25 um  
   1.20 MeV   4.815E+01  1.475E+01   19.48 um     2.30 um     2.40 um  
   1.30 MeV   5.036E+01  1.401E+01   21.00 um     2.41 um     2.55 um  
   1.40 MeV   5.260E+01  1.335E+01   22.49 um     2.51 um     2.69 um  
   1.50 MeV   5.485E+01  1.276E+01   23.95 um     2.60 um     2.82 um  
   1.60 MeV   5.711E+01  1.223E+01   25.37 um     2.68 um     2.94 um  
   1.70 MeV   5.939E+01  1.174E+01   26.76 um     2.76 um     3.06 um  
   1.80 MeV   6.169E+01  1.130E+01   28.12 um     2.84 um     3.17 um  
   2.00 MeV   6.633E+01  1.051E+01   30.73 um     2.98 um     3.38 um  
   2.25 MeV   7.222E+01  9.692E+00   33.81 um     3.14 um     3.62 um  
   2.50 MeV   7.818E+01  9.003E+00   36.72 um     3.27 um     3.82 um  
   2.75 MeV   8.422E+01  8.415E+00   39.45 um     3.39 um     4.01 um  
   3.00 MeV   9.033E+01  7.907E+00   42.03 um     3.49 um     4.17 um  
   3.25 MeV   9.651E+01  7.464E+00   44.47 um     3.58 um     4.32 um  
   3.50 MeV   1.027E+02  7.073E+00   46.77 um     3.65 um     4.45 um  
   3.75 MeV   1.090E+02  6.725E+00   48.96 um     3.72 um     4.57 um  
   4.00 MeV   1.153E+02  6.413E+00   51.05 um     3.78 um     4.68 um  
   4.50 MeV   1.279E+02  5.877E+00   54.92 um     3.90 um     4.87 um  
   5.00 MeV   1.404E+02  5.432E+00   58.46 um     3.99 um     5.03 um  
   5.50 MeV   1.528E+02  5.055E+00   61.73 um     4.07 um     5.17 um  
   6.00 MeV   1.650E+02  4.732E+00   64.76 um     4.14 um     5.28 um  
   6.50 MeV   1.769E+02  4.451E+00   67.59 um     4.19 um     5.38 um  
   7.00 MeV   1.883E+02  4.205E+00   70.24 um     4.24 um     5.47 um  
   8.00 MeV   2.099E+02  3.793E+00   75.14 um     4.35 um     5.62 um  
   9.00 MeV   2.295E+02  3.460E+00   79.60 um     4.43 um     5.74 um  
  10.00 MeV   2.470E+02  3.186E+00   83.72 um     4.50 um     5.84 um  
  11.00 MeV   2.625E+02  2.955E+00   87.58 um     4.56 um     5.93 um  
  12.00 MeV   2.760E+02  2.758E+00   91.25 um     4.61 um     6.00 um  
  13.00 MeV   2.878E+02  2.588E+00   94.75 um     4.66 um     6.07 um  
  14.00 MeV   2.981E+02  2.439E+00   98.12 um     4.70 um     6.12 um  
  15.00 MeV   3.071E+02  2.308E+00  101.39 um     4.74 um     6.18 um  
  16.00 MeV   3.149E+02  2.191E+00  104.58 um     4.77 um     6.23 um  
  17.00 MeV   3.217E+02  2.086E+00  107.69 um     4.81 um     6.27 um  
  18.00 MeV   3.277E+02  1.992E+00  110.75 um     4.84 um     6.31 um  
  20.00 MeV   3.378E+02  1.828E+00  116.71 um     4.93 um     6.39 um  
  22.50 MeV   3.475E+02  1.661E+00  123.96 um     5.06 um     6.47 um  
  25.00 MeV   3.552E+02  1.523E+00  131.04 um     5.17 um     6.54 um  
  27.50 MeV   3.612E+02  1.409E+00  137.98 um     5.28 um     6.60 um  
  30.00 MeV   3.661E+02  1.311E+00  144.82 um     5.39 um     6.66 um  
  32.50 MeV   3.701E+02  1.227E+00  151.58 um     5.48 um     6.72 um  
  35.00 MeV   3.733E+02  1.154E+00  158.28 um     5.58 um     6.77 um  
  37.50 MeV   3.758E+02  1.089E+00  164.93 um     5.67 um     6.82 um  
  40.00 MeV   3.778E+02  1.032E+00  171.54 um     5.75 um     6.86 um  
  45.00 MeV   3.803E+02  9.351E-01  184.69 um     6.07 um     6.95 um  
  50.00 MeV   3.813E+02  8.559E-01  197.78 um     6.36 um     7.03 um  
  55.00 MeV   3.812E+02  7.898E-01  210.86 um     6.64 um     7.10 um  
  60.00 MeV   3.801E+02  7.338E-01  223.97 um     6.90 um     7.17 um  
  65.00 MeV   3.783E+02  6.857E-01  237.12 um     7.16 um     7.24 um  
  70.00 MeV   3.760E+02  6.439E-01  250.35 um     7.42 um     7.30 um  
  80.00 MeV   3.702E+02  5.748E-01  277.11 um     8.35 um     7.43 um  
  90.00 MeV   3.636E+02  5.198E-01  304.32 um     9.21 um     7.55 um  
 100.00 MeV   3.565E+02  4.749E-01  332.06 um    10.03 um     7.66 um  
 110.00 MeV   3.521E+02  4.376E-01  360.24 um    10.80 um     7.78 um  
 120.00 MeV   3.470E+02  4.060E-01  388.81 um    11.55 um     7.89 um  
 130.00 MeV   3.408E+02  3.790E-01  417.86 um    12.27 um     8.00 um  
 140.00 MeV   3.355E+02  3.555E-01  447.40 um    12.98 um     8.12 um  
 150.00 MeV   3.304E+02  3.349E-01  477.40 um    13.67 um     8.23 um  
 160.00 MeV   3.254E+02  3.167E-01  507.87 um    14.34 um     8.34 um  
 170.00 MeV   3.205E+02  3.005E-01  538.80 um    15.01 um     8.46 um  
 180.00 MeV   3.158E+02  2.859E-01  570.21 um    15.66 um     8.57 um  
 200.00 MeV   3.066E+02  2.609E-01  634.43 um    18.13 um     8.80 um  
 225.00 MeV   2.959E+02  2.354E-01  717.37 um    21.61 um     9.10 um  
 250.00 MeV   2.858E+02  2.147E-01  803.28 um    24.82 um     9.40 um  
 275.00 MeV   2.763E+02  1.975E-01  892.19 um    27.84 um     9.72 um  
 300.00 MeV   2.673E+02  1.830E-01  984.14 um    30.75 um    10.04 um  
 325.00 MeV   2.588E+02  1.706E-01    1.08 mm    33.57 um    10.38 um  
 350.00 MeV   2.506E+02  1.599E-01    1.18 mm    36.35 um    10.72 um  
 375.00 MeV   2.429E+02  1.504E-01    1.28 mm    39.09 um    11.08 um  
 400.00 MeV   2.356E+02  1.421E-01    1.38 mm    41.80 um    11.45 um  
 450.00 MeV   2.220E+02  1.281E-01    1.60 mm    52.03 um    12.23 um  
 500.00 MeV   2.097E+02  1.167E-01    1.83 mm    61.52 um    13.05 um  
 550.00 MeV   1.985E+02  1.073E-01    2.08 mm    70.65 um    13.93 um  
 600.00 MeV   1.883E+02  9.930E-02    2.34 mm    79.58 um    14.86 um  
 650.00 MeV   1.791E+02  9.249E-02    2.61 mm    88.44 um    15.85 um  
 700.00 MeV   1.707E+02  8.659E-02    2.89 mm    97.28 um    16.89 um  
 800.00 MeV   1.562E+02  7.689E-02    3.51 mm   130.31 um    19.13 um  
 900.00 MeV   1.442E+02  6.923E-02    4.17 mm   160.87 um    21.57 um  
   1.00 GeV   1.343E+02  6.301E-02    4.89 mm   190.35 um    24.21 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  6.3187E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
