 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in Nitrogen (gas).txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
5.49999 eV    1.100E-01  1.497E+00      44 A        27 A        20 A   
5.99999 eV    1.149E-01  1.574E+00      45 A        28 A        20 A   
6.49999 eV    1.196E-01  1.648E+00      47 A        29 A        21 A   
6.99999 eV    1.241E-01  1.719E+00      49 A        30 A        22 A   
7.99999 eV    1.327E-01  1.855E+00      51 A        32 A        23 A   
8.99999 eV    1.407E-01  1.981E+00      54 A        34 A        24 A   
9.99999 eV    1.483E-01  2.101E+00      57 A        35 A        26 A   
10.9999 eV    1.556E-01  2.214E+00      59 A        37 A        27 A   
11.9999 eV    1.625E-01  2.322E+00      61 A        38 A        28 A   
12.9999 eV    1.691E-01  2.426E+00      63 A        40 A        29 A   
13.9999 eV    1.755E-01  2.525E+00      65 A        41 A        30 A   
14.9999 eV    1.816E-01  2.620E+00      67 A        42 A        31 A   
15.9999 eV    1.876E-01  2.712E+00      69 A        43 A        31 A   
16.9999 eV    1.934E-01  2.801E+00      71 A        45 A        32 A   
17.9999 eV    1.990E-01  2.886E+00      73 A        46 A        33 A   
19.9999 eV    2.098E-01  3.050E+00      77 A        48 A        35 A   
22.4999 eV    2.225E-01  3.242E+00      81 A        51 A        36 A   
24.9999 eV    2.345E-01  3.422E+00      85 A        53 A        38 A   
27.4999 eV    2.460E-01  3.591E+00      88 A        55 A        40 A   
29.9999 eV    2.569E-01  3.751E+00      92 A        58 A        41 A   
32.4999 eV    2.674E-01  3.903E+00      96 A        60 A        43 A   
34.9999 eV    2.775E-01  4.048E+00      99 A        62 A        44 A   
37.4999 eV    2.872E-01  4.187E+00     102 A        64 A        46 A   
39.9999 eV    2.966E-01  4.319E+00     105 A        66 A        47 A   
44.9999 eV    3.146E-01  4.570E+00     111 A        69 A        49 A   
49.9999 eV    3.316E-01  4.802E+00     117 A        72 A        52 A   
54.9999 eV    3.478E-01  5.020E+00     123 A        76 A        54 A   
59.9999 eV    3.633E-01  5.225E+00     128 A        79 A        56 A   
64.9999 eV    3.781E-01  5.418E+00     133 A        82 A        58 A   
69.9999 eV    3.924E-01  5.601E+00     138 A        84 A        60 A   
79.9999 eV    4.195E-01  5.941E+00     148 A        90 A        64 A   
89.9999 eV    4.449E-01  6.251E+00     157 A        95 A        68 A   
99.9999 eV    4.690E-01  6.537E+00     166 A        99 A        71 A   
    110 eV    4.919E-01  6.802E+00     174 A       104 A        74 A   
    120 eV    5.138E-01  7.049E+00     183 A       108 A        78 A   
    130 eV    5.348E-01  7.281E+00     190 A       112 A        81 A   
139.999 eV    5.549E-01  7.499E+00     198 A       116 A        84 A   
149.999 eV    5.744E-01  7.704E+00     206 A       120 A        86 A   
159.999 eV    5.933E-01  7.899E+00     213 A       124 A        89 A   
169.999 eV    6.115E-01  8.084E+00     220 A       128 A        92 A   
179.999 eV    6.293E-01  8.260E+00     227 A       131 A        95 A   
199.999 eV    6.633E-01  8.589E+00     241 A       138 A       100 A   
224.999 eV    7.035E-01  8.962E+00     258 A       147 A       106 A   
249.999 eV    7.416E-01  9.300E+00     274 A       155 A       112 A   
274.999 eV    7.778E-01  9.609E+00     290 A       162 A       117 A   
299.999 eV    8.124E-01  9.893E+00     305 A       169 A       123 A   
324.999 eV    8.455E-01  1.016E+01     320 A       177 A       128 A   
349.999 eV    8.774E-01  1.040E+01     334 A       184 A       133 A   
374.999 eV    9.082E-01  1.063E+01     349 A       190 A       138 A   
399.999 eV    9.380E-01  1.084E+01     363 A       197 A       143 A   
449.999 eV    9.949E-01  1.123E+01     390 A       209 A       153 A   
499.999 eV    1.049E+00  1.158E+01     417 A       222 A       162 A   
549.999 eV    1.100E+00  1.189E+01     442 A       234 A       171 A   
599.999 eV    1.149E+00  1.217E+01     468 A       245 A       179 A   
649.999 eV    1.196E+00  1.243E+01     493 A       256 A       187 A   
699.999 eV    1.241E+00  1.266E+01     517 A       267 A       196 A   
799.999 eV    1.327E+00  1.308E+01     565 A       288 A       211 A   
899.999 eV    1.407E+00  1.344E+01     612 A       309 A       227 A   
999.999 eV    1.483E+00  1.375E+01     658 A       328 A       241 A   
   1.10 keV   1.556E+00  1.403E+01     702 A       348 A       256 A   
   1.20 keV   1.625E+00  1.427E+01     747 A       367 A       270 A   
   1.30 keV   1.691E+00  1.448E+01     790 A       385 A       283 A   
   1.40 keV   1.755E+00  1.467E+01     833 A       403 A       297 A   
   1.50 keV   1.816E+00  1.485E+01     876 A       421 A       310 A   
   1.60 keV   1.876E+00  1.500E+01     918 A       438 A       323 A   
   1.70 keV   1.934E+00  1.514E+01     960 A       456 A       335 A   
   1.80 keV   1.990E+00  1.527E+01    1001 A       473 A       348 A   
   2.00 keV   2.098E+00  1.549E+01    1083 A       506 A       372 A   
   2.25 keV   2.225E+00  1.571E+01    1185 A       547 A       402 A   
   2.50 keV   2.345E+00  1.589E+01    1285 A       587 A       432 A   
   2.75 keV   2.460E+00  1.603E+01    1384 A       627 A       460 A   
   3.00 keV   2.569E+00  1.614E+01    1482 A       665 A       488 A   
   3.25 keV   2.674E+00  1.623E+01    1580 A       704 A       516 A   
   3.50 keV   2.775E+00  1.630E+01    1678 A       741 A       543 A   
   3.75 keV   2.872E+00  1.635E+01    1775 A       779 A       569 A   
   4.00 keV   2.966E+00  1.639E+01    1871 A       816 A       596 A   
   4.50 keV   3.146E+00  1.643E+01    2064 A       889 A       648 A   
   5.00 keV   3.316E+00  1.643E+01    2256 A       960 A       699 A   
   5.50 keV   3.478E+00  1.641E+01    2447 A      1031 A       749 A   
   6.00 keV   3.633E+00  1.637E+01    2639 A      1101 A       798 A   
   6.50 keV   3.781E+00  1.631E+01    2830 A      1171 A       847 A   
   7.00 keV   3.924E+00  1.624E+01    3022 A      1240 A       895 A   
   8.00 keV   4.195E+00  1.607E+01    3406 A      1375 A       991 A   
   9.00 keV   4.449E+00  1.588E+01    3791 A      1509 A      1085 A   
  10.00 keV   4.690E+00  1.567E+01    4178 A      1641 A      1177 A   
  11.00 keV   4.919E+00  1.546E+01    4567 A      1772 A      1269 A   
  12.00 keV   5.138E+00  1.525E+01    4958 A      1901 A      1361 A   
  13.00 keV   5.348E+00  1.503E+01    5350 A      2029 A      1451 A   
  14.00 keV   5.549E+00  1.482E+01    5745 A      2155 A      1541 A   
  15.00 keV   5.744E+00  1.461E+01    6142 A      2281 A      1631 A   
  16.00 keV   5.933E+00  1.440E+01    6541 A      2405 A      1721 A   
  17.00 keV   6.115E+00  1.420E+01    6941 A      2528 A      1810 A   
  18.00 keV   6.293E+00  1.400E+01    7343 A      2650 A      1899 A   
  20.00 keV   6.633E+00  1.362E+01    8153 A      2891 A      2077 A   
  22.50 keV   7.035E+00  1.317E+01    9175 A      3186 A      2298 A   
  25.00 keV   7.416E+00  1.276E+01    1.02 um     3475 A      2518 A   
  27.50 keV   7.778E+00  1.237E+01    1.12 um     3759 A      2738 A   
  30.00 keV   8.124E+00  1.200E+01    1.23 um     4036 A      2957 A   
  32.50 keV   8.455E+00  1.166E+01    1.33 um     4308 A      3175 A   
  35.00 keV   8.774E+00  1.134E+01    1.44 um     4574 A      3392 A   
  37.50 keV   9.082E+00  1.104E+01    1.55 um     4835 A      3609 A   
  40.00 keV   9.914E+00  1.076E+01    1.65 um     5084 A      3824 A   
  45.00 keV   1.119E+01  1.024E+01    1.85 um     5545 A      4249 A   
  50.00 keV   1.191E+01  9.779E+00    2.06 um     5974 A      4661 A   
  55.00 keV   1.233E+01  9.364E+00    2.26 um     6387 A      5059 A   
  60.00 keV   1.260E+01  8.989E+00    2.46 um     6792 A      5448 A   
  65.00 keV   1.281E+01  8.647E+00    2.66 um     7189 A      5828 A   
  70.00 keV   1.300E+01  8.335E+00    2.87 um     7580 A      6204 A   
  80.00 keV   1.339E+01  7.784E+00    3.29 um     8349 A      6942 A   
  90.00 keV   1.387E+01  7.312E+00    3.71 um     9086 A      7667 A   
 100.00 keV   1.445E+01  6.902E+00    4.14 um     9787 A      8377 A   
 110.00 keV   1.511E+01  6.543E+00    4.56 um     1.04 um     9071 A   
 120.00 keV   1.583E+01  6.224E+00    4.98 um     1.11 um     9746 A   
 130.00 keV   1.659E+01  5.940E+00    5.39 um     1.16 um     1.04 um  
 140.00 keV   1.738E+01  5.685E+00    5.79 um     1.22 um     1.10 um  
 150.00 keV   1.818E+01  5.453E+00    6.19 um     1.27 um     1.16 um  
 160.00 keV   1.899E+01  5.243E+00    6.57 um     1.32 um     1.22 um  
 170.00 keV   1.979E+01  5.050E+00    6.95 um     1.36 um     1.28 um  
 180.00 keV   2.057E+01  4.873E+00    7.32 um     1.40 um     1.33 um  
 200.00 keV   2.209E+01  4.559E+00    8.04 um     1.48 um     1.43 um  
 225.00 keV   2.386E+01  4.226E+00    8.90 um     1.56 um     1.55 um  
 250.00 keV   2.546E+01  3.944E+00    9.72 um     1.64 um     1.66 um  
 275.00 keV   2.692E+01  3.701E+00   10.51 um     1.70 um     1.75 um  
 300.00 keV   2.823E+01  3.491E+00   11.27 um     1.76 um     1.84 um  
 325.00 keV   2.941E+01  3.305E+00   12.01 um     1.82 um     1.92 um  
 350.00 keV   3.048E+01  3.141E+00   12.74 um     1.87 um     2.00 um  
 375.00 keV   3.146E+01  2.994E+00   13.44 um     1.91 um     2.07 um  
 400.00 keV   3.235E+01  2.862E+00   14.13 um     1.96 um     2.14 um  
 450.00 keV   3.395E+01  2.634E+00   15.48 um     2.04 um     2.27 um  
 500.00 keV   3.537E+01  2.443E+00   16.78 um     2.11 um     2.38 um  
 550.00 keV   3.666E+01  2.280E+00   18.05 um     2.17 um     2.49 um  
 600.00 keV   3.787E+01  2.141E+00   19.28 um     2.23 um     2.58 um  
 650.00 keV   3.904E+01  2.018E+00   20.49 um     2.28 um     2.67 um  
 700.00 keV   4.019E+01  1.911E+00   21.66 um     2.33 um     2.76 um  
 800.00 keV   4.247E+01  1.730E+00   23.93 um     2.43 um     2.91 um  
 900.00 keV   4.481E+01  1.583E+00   26.10 um     2.51 um     3.04 um  
   1.00 MeV   4.723E+01  1.462E+00   28.17 um     2.59 um     3.16 um  
   1.10 MeV   4.974E+01  1.359E+00   30.15 um     2.65 um     3.27 um  
   1.20 MeV   5.234E+01  1.271E+00   32.03 um     2.71 um     3.37 um  
   1.30 MeV   5.503E+01  1.195E+00   33.83 um     2.76 um     3.46 um  
   1.40 MeV   5.780E+01  1.128E+00   35.55 um     2.80 um     3.54 um  
   1.50 MeV   6.061E+01  1.069E+00   37.19 um     2.84 um     3.61 um  
   1.60 MeV   6.348E+01  1.016E+00   38.76 um     2.87 um     3.68 um  
   1.70 MeV   6.637E+01  9.687E-01   40.26 um     2.90 um     3.74 um  
   1.80 MeV   6.927E+01  9.260E-01   41.71 um     2.93 um     3.79 um  
   2.00 MeV   7.507E+01  8.518E-01   44.42 um     2.99 um     3.89 um  
   2.25 MeV   8.219E+01  7.755E-01   47.55 um     3.06 um     4.00 um  
   2.50 MeV   8.901E+01  7.127E-01   50.43 um     3.11 um     4.08 um  
   2.75 MeV   9.543E+01  6.600E-01   53.10 um     3.16 um     4.16 um  
   3.00 MeV   1.014E+02  6.151E-01   55.62 um     3.20 um     4.22 um  
   3.25 MeV   1.068E+02  5.764E-01   57.99 um     3.23 um     4.28 um  
   3.50 MeV   1.116E+02  5.427E-01   60.26 um     3.27 um     4.33 um  
   3.75 MeV   1.160E+02  5.129E-01   62.44 um     3.29 um     4.38 um  
   4.00 MeV   1.198E+02  4.865E-01   64.55 um     3.32 um     4.42 um  
   4.50 MeV   1.259E+02  4.416E-01   68.59 um     3.39 um     4.49 um  
   5.00 MeV   1.303E+02  4.048E-01   72.47 um     3.45 um     4.56 um  
   5.50 MeV   1.334E+02  3.741E-01   76.24 um     3.50 um     4.61 um  
   6.00 MeV   1.354E+02  3.480E-01   79.95 um     3.56 um     4.66 um  
   6.50 MeV   1.365E+02  3.255E-01   83.61 um     3.61 um     4.71 um  
   7.00 MeV   1.371E+02  3.059E-01   87.25 um     3.65 um     4.75 um  
   8.00 MeV   1.369E+02  2.735E-01   94.53 um     3.82 um     4.83 um  
   9.00 MeV   1.357E+02  2.477E-01  101.84 um     3.97 um     4.91 um  
  10.00 MeV   1.341E+02  2.266E-01  109.23 um     4.12 um     4.98 um  
  11.00 MeV   1.321E+02  2.090E-01  116.73 um     4.27 um     5.04 um  
  12.00 MeV   1.300E+02  1.941E-01  124.34 um     4.42 um     5.10 um  
  13.00 MeV   1.279E+02  1.813E-01  132.08 um     4.57 um     5.16 um  
  14.00 MeV   1.258E+02  1.702E-01  139.95 um     4.72 um     5.22 um  
  15.00 MeV   1.237E+02  1.605E-01  147.95 um     4.86 um     5.28 um  
  16.00 MeV   1.217E+02  1.519E-01  156.09 um     5.01 um     5.34 um  
  17.00 MeV   1.197E+02  1.442E-01  164.36 um     5.16 um     5.40 um  
  18.00 MeV   1.177E+02  1.373E-01  172.77 um     5.31 um     5.46 um  
  20.00 MeV   1.140E+02  1.254E-01  190.01 um     5.86 um     5.57 um  
  22.50 MeV   1.097E+02  1.133E-01  212.34 um     6.69 um     5.71 um  
  25.00 MeV   1.057E+02  1.034E-01  235.52 um     7.47 um     5.86 um  
  27.50 MeV   1.021E+02  9.521E-02  259.56 um     8.23 um     6.01 um  
  30.00 MeV   9.868E+01  8.828E-02  284.45 um     8.98 um     6.16 um  
  32.50 MeV   9.555E+01  8.234E-02  310.17 um     9.71 um     6.32 um  
  35.00 MeV   9.263E+01  7.720E-02  336.72 um    10.43 um     6.48 um  
  37.50 MeV   8.992E+01  7.269E-02  364.09 um    11.15 um     6.65 um  
  40.00 MeV   8.804E+01  6.871E-02  392.16 um    11.86 um     6.82 um  
  45.00 MeV   8.400E+01  6.198E-02  450.26 um    14.47 um     7.18 um  
  50.00 MeV   8.035E+01  5.651E-02  511.08 um    16.87 um     7.55 um  
  55.00 MeV   7.715E+01  5.198E-02  574.55 um    19.15 um     7.95 um  
  60.00 MeV   7.425E+01  4.815E-02  640.58 um    21.34 um     8.36 um  
  65.00 MeV   7.159E+01  4.487E-02  709.12 um    23.48 um     8.78 um  
  70.00 MeV   6.914E+01  4.203E-02  780.15 um    25.57 um     9.22 um  
  80.00 MeV   6.473E+01  3.736E-02  929.58 um    33.24 um    10.15 um  
  90.00 MeV   6.084E+01  3.366E-02    1.09 mm    40.22 um    11.15 um  
 100.00 MeV   5.735E+01  3.066E-02    1.26 mm    46.87 um    12.20 um  
 110.00 MeV   5.420E+01  2.817E-02    1.44 mm    53.35 um    13.32 um  
 120.00 MeV   5.133E+01  2.607E-02    1.63 mm    59.77 um    14.49 um  
 130.00 MeV   4.870E+01  2.428E-02    1.83 mm    66.20 um    15.73 um  
 140.00 MeV   4.628E+01  2.273E-02    2.04 mm    72.66 um    17.03 um  
 150.00 MeV   4.405E+01  2.137E-02    2.26 mm    79.19 um    18.39 um  
 160.00 MeV   4.200E+01  2.018E-02    2.49 mm    85.82 um    19.82 um  
 170.00 MeV   4.009E+01  1.911E-02    2.74 mm    92.57 um    21.31 um  
 180.00 MeV   3.833E+01  1.816E-02    2.99 mm    99.43 um    22.87 um  
 200.00 MeV   3.519E+01  1.653E-02    3.53 mm   125.94 um    26.19 um  
 225.00 MeV   3.186E+01  1.487E-02    4.28 mm   164.56 um    30.73 um  
 250.00 MeV   2.909E+01  1.353E-02    5.10 mm   201.64 um    35.72 um  
 275.00 MeV   2.677E+01  1.242E-02    6.00 mm   238.38 um    41.16 um  
 300.00 MeV   2.481E+01  1.148E-02    6.97 mm   275.29 um    47.04 um  
 325.00 MeV   2.316E+01  1.069E-02    8.01 mm   312.57 um    53.37 um  
 350.00 MeV   2.177E+01  9.996E-03    9.12 mm   350.26 um    60.12 um  
 375.00 MeV   2.058E+01  9.393E-03   10.31 mm   388.35 um    67.29 um  
 400.00 MeV   1.956E+01  8.861E-03   11.55 mm   426.78 um    74.85 um  
 450.00 MeV   1.793E+01  7.967E-03   14.22 mm   570.50 um    91.07 um  
 500.00 MeV   1.668E+01  7.243E-03   17.11 mm   702.53 um   108.59 um  
 550.00 MeV   1.570E+01  6.644E-03   20.20 mm   827.96 um   127.23 um  
 600.00 MeV   1.473E+01  6.141E-03   23.49 mm   950.27 um   146.96 um  
 650.00 MeV   1.381E+01  5.711E-03   26.99 mm     1.07 mm   167.84 um  
 700.00 MeV   1.300E+01  5.339E-03   30.73 mm     1.20 mm   189.92 um  
 800.00 MeV   1.167E+01  4.729E-03   38.84 mm     1.66 mm   237.66 um  
 900.00 MeV   1.062E+01  4.249E-03   47.82 mm     2.09 mm   290.06 um  
   1.00 GeV   9.763E+00  3.860E-03   57.64 mm     2.51 mm   346.98 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  8.7879E-02                keV / (ug/cm2) 
  8.7879E-02                MeV / (mg/cm2) 
  8.7879E+01                keV / (mg/cm2) 
  2.0440E+00                 eV / (1E15 atoms/cm2)
  1.8824E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
